,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.87,1.67,1.54,1.57,1.29,0.54,0.64,0.56,0.43,0.45,0.56,0.31,0.41,0.36,0.39
e_1,1.24,1.05,2.1,1.66,1.72,1.34,0.68,0.82,0.63,0.54,0.51,0.63,0.4,0.44,0.6,0.44
c_1,1.9,1.48,1.05,2.21,1.91,1.57,0.69,0.61,0.35,0.54,0.46,0.45,0.42,0.47,0.46,0.37
d_1,1.88,2.08,1.64,1.05,1.85,1.33,0.66,0.45,0.65,0.59,0.58,0.53,0.42,0.52,0.51,0.3
b_1,2.2,2.05,1.41,1.94,1.06,2.24,0.79,0.77,0.64,0.81,0.77,0.62,0.5,0.54,0.54,0.46
a_1,3.63,3.02,2.7,2.93,1.53,1.07,1.27,1.01,0.81,0.73,0.98,0.69,0.67,0.78,0.61,0.56
h_1,5.18,4.45,4.69,4.65,4.02,3.34,1.28,1.83,1.4,1.32,1.44,1.17,1.46,1.18,1.14,1.22
g_1,6.2,5.31,5.57,6.36,5.11,4.9,1.83,1.3,1.7,1.66,1.66,1.74,1.07,1.78,1.44,1.22
d_0,6.06,3.83,7.56,7.07,5.74,4.76,2.3,2.31,1.46,1.61,1.78,1.58,1.54,1.77,1.56,1.55
c_0,6.31,6.28,8.89,4.0,5.32,5.0,2.41,2.12,2.42,1.44,2.05,1.72,1.45,1.75,1.89,1.21
b_0,6.78,6.04,8.37,5.02,6.97,4.95,2.53,2.24,1.93,1.19,1.42,1.88,1.58,1.78,1.7,1.51
f_0,8.25,6.22,7.52,6.22,6.45,5.71,2.79,1.76,2.03,1.92,2.03,1.43,1.49,1.81,1.97,1.14
h_0,8.56,8.37,7.58,7.39,7.7,6.45,3.2,2.99,2.08,2.18,1.97,2.13,1.94,1.78,1.68,1.68
a_0,8.99,8.61,8.37,6.67,7.91,8.04,3.28,2.61,2.51,2.2,1.55,2.99,1.88,1.49,2.13,1.75
e_0,11.85,9.95,8.52,8.04,8.16,7.8,3.45,2.67,2.68,2.44,2.62,1.52,2.51,2.86,1.53,1.76
g_0,9.12,8.42,8.76,9.42,8.61,8.79,2.65,3.68,2.31,2.73,2.62,2.62,1.67,2.37,2.12,2.28
