,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.76,0.43,0.31,0.47,0.35,0.34,0.76,1.52,0.69,0.81,0.83,0.77,1.05,1.04,0.22,0.7
f_1,0.74,3.85,0.4,0.33,0.36,0.37,0.7,0.69,0.66,0.98,0.73,0.23,0.75,0.62,0.7,0.81
d_1,0.39,0.57,4.34,0.25,0.25,0.37,0.86,0.19,0.7,1.4,0.99,0.79,0.79,0.77,1.01,0.86
c_1,0.38,0.37,0.27,4.5,0.87,0.32,0.73,0.85,0.57,0.16,0.76,0.74,0.86,0.69,0.84,0.81
b_1,0.34,0.29,0.43,0.48,4.8,0.76,0.6,0.61,0.89,0.68,0.15,1.11,0.9,0.67,0.67,0.82
a_1,0.38,0.37,0.48,0.46,0.26,6.63,0.82,0.65,0.97,0.64,0.92,0.84,1.15,0.15,0.9,0.93
h_1,0.68,1.03,0.65,0.68,0.58,0.54,5.28,1.33,1.43,1.06,1.49,1.24,0.54,1.25,1.38,2.25
d_0,0.5,0.64,0.31,1.51,0.81,0.73,1.08,3.62,1.1,1.06,1.61,1.47,1.49,1.7,1.72,1.72
g_1,0.56,0.57,1.18,0.4,0.77,0.75,1.58,1.05,6.55,1.51,1.08,2.3,1.55,1.52,1.63,0.59
c_0,0.62,0.83,0.89,0.32,0.42,0.66,1.46,1.69,1.42,4.27,2.93,1.67,1.19,2.06,1.32,2.15
b_0,0.65,0.8,0.88,0.73,0.19,0.58,1.43,1.68,1.42,1.59,4.51,1.63,1.79,2.87,2.1,2.01
f_0,0.63,0.25,0.64,0.72,0.98,0.86,1.42,1.75,1.5,1.44,1.29,4.85,1.52,1.54,3.51,1.45
h_0,0.64,1.02,0.75,0.71,0.79,0.59,0.38,1.33,1.62,1.24,1.2,1.12,0.51,1.13,1.08,1.69
a_0,0.74,0.89,0.82,0.66,0.59,0.27,1.61,1.68,0.96,1.26,1.8,1.53,1.74,5.95,1.36,1.37
e_0,0.2,0.81,0.9,0.76,0.88,0.57,1.37,1.74,1.28,1.85,1.35,1.88,2.28,1.64,5.81,2.1
g_0,0.64,0.54,1.27,0.7,0.68,0.5,1.09,1.08,0.74,1.52,1.72,1.78,1.17,1.78,1.7,0.67
