,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.92,1.2,1.03,0.97,0.88,0.88,0.96,0.95,1.07,1.01,0.91,0.96,0.98,0.95,0.85
d_1,1.09,1.0,1.03,0.89,0.93,0.94,1.02,0.86,1.22,1.06,1.06,1.04,0.97,1.11,0.94,0.97
e_1,0.84,0.97,1.0,1.2,1.01,0.96,1.02,1.18,1.02,1.32,0.99,1.14,1.12,0.97,1.08,0.99
c_1,0.96,1.13,0.83,1.0,1.38,1.0,0.98,1.0,0.87,0.72,0.75,0.91,0.93,0.88,1.04,1.02
b_1,1.03,1.02,1.01,0.76,1.0,1.37,1.05,1.0,1.03,0.92,1.05,1.03,1.01,0.9,0.97,1.03
a_1,1.13,1.06,1.04,0.97,0.75,1.0,1.1,1.12,1.01,0.99,1.3,0.97,1.08,1.08,1.04,0.97
h_1,1.15,0.96,0.99,1.02,0.96,0.89,1.0,1.04,0.97,0.96,0.89,0.91,0.97,0.93,1.12,0.92
g_1,1.03,1.15,0.84,0.99,0.96,0.87,0.94,1.0,1.0,0.86,1.01,1.14,0.96,0.93,0.96,1.09
c_0,1.08,0.84,0.98,1.21,0.9,0.97,1.03,1.0,1.0,1.16,1.38,1.08,1.04,1.21,0.97,1.12
d_0,0.91,0.96,0.76,1.44,1.13,1.01,1.02,1.14,0.78,1.0,0.93,0.99,1.01,0.97,1.01,1.13
b_0,0.99,0.95,0.98,1.3,0.93,0.79,1.1,0.95,0.74,1.03,1.0,0.98,1.05,1.48,1.04,1.04
f_0,1.04,1.0,0.89,1.1,0.92,1.02,1.09,0.86,0.92,1.02,0.95,1.0,1.0,0.95,0.9,1.45
h_0,1.06,1.03,0.92,1.07,1.01,0.93,1.06,1.06,0.96,0.98,1.02,1.0,1.0,0.94,1.18,0.98
a_0,1.03,0.94,0.98,1.12,1.09,0.97,1.01,1.04,0.81,1.02,0.73,1.04,1.03,1.0,0.98,1.16
g_0,1.03,1.07,0.95,0.95,1.09,0.97,0.91,1.03,0.99,1.01,0.94,1.13,0.81,1.04,1.0,1.05
e_0,1.15,1.03,1.04,0.99,0.96,1.0,1.04,0.94,0.91,0.9,1.02,0.71,1.01,0.94,0.94,1.0
