,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.66,0.76,1.4,1.74,1.36,1.25,0.72,0.62,0.63,0.43,0.59,0.53,0.41,0.65,0.39,0.45
f_1,1.56,0.65,1.13,1.3,1.33,0.94,0.45,0.55,0.62,0.49,0.63,0.39,0.32,0.37,0.49,0.4
d_1,1.47,1.54,0.64,1.34,1.27,1.12,0.57,0.68,0.44,0.53,0.46,0.54,0.39,0.5,0.43,0.26
c_1,1.0,1.68,1.6,0.64,1.54,1.19,0.59,0.31,0.55,0.62,0.45,0.42,0.4,0.42,0.39,0.42
b_1,1.41,1.71,1.39,0.82,0.62,1.83,0.68,0.55,0.63,0.72,0.49,0.86,0.48,0.52,0.49,0.43
a_1,1.73,2.02,1.73,1.71,0.87,0.57,0.83,0.69,0.77,0.6,0.52,0.87,0.5,0.66,0.92,0.52
h_1,1.86,2.17,1.99,1.84,1.89,2.01,0.57,0.7,1.04,0.74,0.73,0.67,0.63,0.63,0.59,0.64
d_0,1.34,2.04,2.81,2.55,2.15,1.86,1.08,0.62,1.19,0.69,0.84,0.78,0.61,0.78,0.78,0.73
g_1,2.3,2.12,2.3,2.38,2.14,2.01,0.7,0.72,0.55,0.82,0.9,0.66,0.5,0.6,0.59,0.76
c_0,2.45,2.0,1.37,3.62,1.95,2.84,1.06,1.16,1.01,0.6,0.81,0.91,0.65,0.71,0.7,0.63
f_0,2.02,2.96,2.48,2.22,2.3,2.01,1.05,0.79,0.71,0.8,0.59,0.86,0.64,0.96,0.83,0.45
b_0,2.05,2.38,1.97,3.34,2.74,1.97,1.06,0.78,1.25,0.53,0.83,0.58,0.69,0.85,0.87,0.73
h_0,2.46,2.56,2.59,2.57,2.27,1.99,1.51,0.99,1.33,0.9,1.0,0.99,0.88,0.69,0.86,0.81
e_0,3.08,3.78,2.51,2.78,2.3,2.26,1.24,1.09,1.27,1.06,0.58,0.85,0.89,0.55,1.09,0.74
a_0,2.9,2.47,2.79,3.42,3.17,2.68,1.18,0.92,1.29,0.91,0.87,0.54,0.88,0.66,0.58,0.68
g_0,2.68,3.09,2.89,2.65,2.55,2.48,0.94,0.98,1.48,0.96,1.13,0.91,0.67,0.8,0.98,0.9
