,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.12,6.8,5.49,4.79,4.77,4.5,1.48,0.89,0.94,3.13,0.96,0.88,0.63,0.95,0.91,0.43
e_1,5.67,1.12,2.98,5.67,6.11,4.84,1.93,1.85,1.06,1.11,1.06,1.43,0.83,1.12,2.98,0.98
f_1,4.65,4.95,1.12,5.66,5.44,4.88,1.14,2.83,1.07,1.04,0.99,2.73,0.52,1.01,1.04,0.86
c_1,7.37,5.13,5.95,1.13,6.92,6.38,1.79,1.44,2.31,0.69,1.43,1.33,0.83,1.2,1.08,0.97
b_1,7.68,6.57,7.6,3.89,1.14,9.68,1.95,2.09,1.68,1.46,4.62,1.38,0.93,1.57,1.75,1.26
a_1,12.06,8.77,12.91,10.41,4.78,1.14,2.68,2.96,2.07,2.28,2.72,1.64,2.42,5.0,1.9,1.49
h_1,14.45,18.39,22.08,16.56,15.18,16.6,1.76,5.63,4.03,3.61,3.47,2.93,5.35,3.03,2.68,2.64
g_1,19.27,22.44,26.4,23.79,21.42,18.88,4.52,1.8,4.53,4.11,4.81,3.54,2.45,4.37,4.94,4.72
c_0,11.14,24.11,22.22,52.6,25.06,22.66,6.79,5.87,2.36,6.35,4.12,4.01,3.01,3.67,4.82,3.1
d_0,48.56,12.01,25.63,26.3,28.26,22.4,6.79,9.78,5.2,2.44,5.05,5.15,3.79,4.56,5.19,4.11
b_0,18.03,23.32,24.73,37.47,46.6,23.49,6.95,7.65,2.49,6.35,2.29,5.01,5.22,4.83,5.0,3.82
f_0,23.65,22.58,54.86,24.78,29.19,24.08,7.36,4.89,5.4,5.67,6.39,2.35,4.76,5.0,5.06,2.61
h_0,32.52,30.76,31.63,36.12,45.02,25.34,16.22,10.2,6.34,7.07,6.53,5.84,10.97,5.53,6.14,5.18
a_0,29.14,30.5,43.35,44.75,50.11,55.03,12.51,9.39,6.17,7.67,3.51,7.26,4.81,2.63,6.86,4.5
e_0,30.1,93.89,48.1,50.81,28.56,29.18,8.85,8.28,6.9,6.17,8.84,3.35,6.58,7.28,2.44,4.91
g_0,31.95,38.37,58.52,41.07,36.89,32.64,8.34,16.76,8.1,7.96,6.75,8.98,4.24,7.98,7.79,7.71
