,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.67,6.61,5.09,6.44,4.74,5.0,1.77,2.82,2.49,2.26,1.83,,2.08,1.33,,1.79
e_1,4.02,0.66,5.31,5.78,6.7,5.59,2.7,2.73,2.12,2.32,1.65,1.99,2.51,1.75,,1.5
d_1,6.57,7.97,0.66,5.69,5.61,5.06,2.38,1.58,2.3,,2.04,1.98,1.85,1.79,1.95,1.23
c_1,6.27,5.62,6.08,0.65,6.67,6.53,2.8,2.01,,1.38,2.23,1.84,1.98,1.93,1.81,1.6
b_1,7.19,4.54,6.29,3.65,0.64,6.13,2.57,2.75,2.26,2.06,,2.89,2.41,2.07,2.98,1.71
a_1,6.62,7.67,7.1,6.25,5.07,0.58,4.5,3.83,2.19,2.65,2.74,2.3,,2.28,,1.91
h_1,6.22,5.0,5.23,4.88,5.42,4.68,0.6,2.82,1.96,1.18,1.98,1.99,1.61,,1.41,1.46
g_1,4.76,7.23,6.68,7.5,6.85,4.69,1.64,0.58,1.67,2.33,1.9,2.26,2.36,0.98,1.75,
c_0,4.48,4.9,3.37,,5.44,5.82,1.66,2.83,0.69,2.45,2.05,1.44,1.72,1.26,1.4,1.18
d_0,4.32,3.13,,4.77,5.46,3.84,2.88,2.52,1.72,0.69,1.99,1.57,1.56,1.31,1.28,1.87
b_0,5.29,6.66,5.51,6.82,,6.62,2.33,2.26,1.1,1.71,0.67,1.9,1.71,1.31,1.69,1.18
f_0,,5.59,4.52,5.87,5.21,5.38,2.56,1.35,1.85,2.27,1.74,0.66,2.13,2.2,2.41,1.11
a_0,6.14,5.19,5.81,6.6,5.09,,3.2,2.43,1.98,2.4,1.45,1.99,0.62,1.92,,1.81
h_0,4.79,4.82,4.7,3.96,3.64,3.96,,2.25,1.88,1.89,1.65,1.52,1.19,,1.64,1.73
e_0,,,6.69,7.35,4.17,,3.37,2.28,2.83,3.04,2.43,1.06,,1.49,0.59,1.67
g_0,4.68,5.35,5.62,4.54,4.93,4.22,1.75,,2.4,1.8,1.93,2.44,1.64,1.13,1.61,
