,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,25.82,0.4,0.3,0.27,0.29,0.37,0.83,0.2,1.52,0.61,1.06,0.94,0.76,0.93,0.88,0.82
f_1,0.3,24.09,0.7,0.35,0.32,0.35,0.81,0.74,0.83,0.57,0.74,0.12,1.01,0.56,0.45,0.75
e_1,0.29,0.39,27.03,0.33,0.35,0.29,0.6,1.66,0.71,0.69,0.62,0.75,0.97,0.78,0.17,0.81
c_1,0.36,0.26,0.32,28.37,0.72,0.2,0.71,0.83,0.16,0.78,0.6,0.87,0.87,0.9,0.87,1.11
b_1,0.34,0.3,0.32,0.37,32.29,0.7,0.86,0.9,0.55,0.72,0.2,0.88,0.68,0.53,0.99,0.58
a_1,0.34,0.51,0.31,0.32,0.21,45.62,0.58,0.66,0.8,0.71,0.86,0.83,0.92,0.28,0.68,0.99
h_1,0.67,0.97,0.46,0.66,0.61,0.68,9.47,1.2,1.27,1.51,1.36,1.29,0.43,1.4,1.61,1.61
d_0,0.11,0.59,0.57,1.71,0.63,0.88,1.13,5.3,1.32,1.09,1.93,1.27,1.75,1.57,1.31,1.61
c_0,0.73,0.57,0.67,0.3,0.58,0.78,1.61,1.48,5.57,1.32,3.33,1.98,1.74,1.88,1.57,1.97
g_1,1.14,0.53,0.37,0.57,0.73,0.64,1.08,1.14,1.35,12.21,1.47,2.54,1.66,0.83,1.36,0.81
b_0,0.65,0.77,0.5,0.83,0.22,0.5,1.78,1.36,1.79,1.7,7.09,1.8,2.06,3.69,2.02,1.67
f_0,1.0,0.18,0.56,0.77,0.67,0.43,1.28,1.51,1.94,1.79,1.74,6.4,1.99,1.71,5.18,1.48
h_0,0.66,0.91,0.52,0.62,0.58,0.79,0.43,1.38,1.54,2.23,1.79,1.47,0.52,1.77,1.4,2.52
a_0,0.8,0.83,0.7,0.73,0.47,0.24,1.72,1.26,1.42,1.54,1.83,1.31,1.57,9.37,1.49,1.4
e_0,0.78,0.68,0.28,0.7,0.76,0.54,1.14,1.35,2.22,1.72,1.2,2.0,2.25,1.66,9.68,1.82
g_0,1.48,0.52,0.46,0.52,0.64,0.61,1.03,1.06,1.34,0.57,1.42,2.51,1.43,1.49,1.87,0.94
