,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.92,0.98,0.93,0.76,0.58,0.57,0.7,0.58,0.59,0.57,0.51,0.5,0.49,0.54
e_1,0.82,1.0,0.89,1.12,1.04,0.93,0.76,0.65,0.72,0.9,0.61,0.69,0.62,0.63,0.58,0.62
d_1,1.07,1.13,1.0,0.86,0.9,0.8,0.71,0.89,0.54,0.73,0.71,0.71,0.63,0.6,0.63,0.47
c_1,1.0,0.89,1.14,1.0,1.32,0.74,0.73,0.51,0.7,0.45,0.54,0.62,0.59,0.6,0.55,0.55
b_1,1.09,0.94,1.13,0.75,1.0,1.44,0.78,0.71,0.7,0.66,0.67,0.59,0.66,0.52,0.58,0.64
a_1,1.32,1.12,1.24,1.35,0.72,1.0,0.92,0.84,0.79,0.73,0.93,0.75,0.69,0.77,0.66,0.72
h_1,1.7,1.37,1.38,1.41,1.24,1.03,1.0,0.91,1.08,1.02,0.98,0.94,0.84,0.71,0.72,0.91
c_0,1.74,1.52,1.16,1.95,1.34,1.16,1.11,1.0,0.86,1.04,1.29,0.99,0.89,0.96,0.9,0.81
g_1,1.46,1.36,1.84,1.54,1.45,1.22,0.95,1.08,1.0,0.97,0.83,1.14,0.83,0.99,0.9,0.83
d_0,1.66,1.16,1.33,2.24,1.52,1.31,0.99,0.92,1.05,1.0,0.91,0.91,0.92,0.91,0.8,0.92
b_0,1.72,1.59,1.39,1.87,1.62,1.03,0.94,0.8,1.24,1.12,1.0,0.93,1.0,1.33,0.93,1.04
f_0,1.83,1.44,1.42,1.62,1.69,1.32,1.13,1.06,0.87,1.03,1.08,1.0,1.1,0.97,1.33,0.7
h_0,1.94,1.62,1.58,1.74,1.52,1.35,1.14,1.14,1.23,1.08,1.0,0.91,1.0,0.92,0.93,1.18
a_0,1.93,1.66,1.66,1.77,2.01,1.29,1.41,1.06,1.11,1.09,0.76,1.03,1.11,1.0,0.96,1.06
e_0,2.02,1.68,1.65,1.78,1.81,1.46,1.3,1.06,1.18,1.18,1.05,0.74,1.07,0.99,1.0,1.05
g_0,1.92,1.61,2.09,1.87,1.5,1.34,1.05,1.23,1.2,1.07,1.02,1.44,0.82,0.99,0.96,0.99
