,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.06,1.03,0.88,0.9,1.11,0.98,0.8,1.16,0.95,1.03,1.03,1.1,1.05,0.88,0.88
f_1,0.93,1.0,1.32,0.92,0.98,0.86,0.82,1.04,1.01,1.01,0.98,1.08,1.01,0.83,0.88,1.02
e_1,0.97,0.76,1.0,1.25,1.05,1.02,1.03,1.07,0.95,1.44,1.15,1.09,1.12,1.08,1.07,1.11
c_1,1.14,1.09,0.8,1.0,1.32,0.96,1.08,1.11,0.79,0.66,0.69,1.02,0.82,0.97,0.97,0.92
b_1,1.11,1.02,0.95,0.76,1.0,1.25,1.14,1.15,1.17,1.04,0.86,0.94,0.86,1.03,0.86,1.07
a_1,0.92,1.15,0.99,1.04,0.79,1.0,1.35,1.0,0.99,1.01,1.24,1.05,0.77,1.13,1.21,1.29
h_1,1.02,1.22,0.94,0.91,0.92,0.71,1.0,1.11,1.0,0.94,1.06,0.9,0.95,1.12,1.06,1.1
g_1,1.27,0.98,0.96,0.88,0.87,0.93,0.88,1.0,0.87,0.91,1.05,1.15,0.99,0.9,1.17,0.97
c_0,0.81,1.06,1.09,1.29,0.88,1.0,1.01,1.12,1.0,1.26,1.4,0.9,1.12,0.99,1.02,1.08
d_0,1.1,0.98,0.71,1.46,0.98,0.94,1.0,1.1,0.79,1.0,0.96,0.96,1.12,1.07,0.96,0.95
b_0,0.93,1.12,0.88,1.41,1.12,0.8,0.93,0.97,0.68,1.08,1.0,0.94,1.28,0.96,0.99,0.99
f_0,0.98,0.96,0.95,1.04,1.07,0.92,1.11,0.85,1.06,1.0,0.99,1.0,1.0,1.05,1.75,0.89
a_0,0.9,0.93,0.94,1.3,1.08,1.2,1.08,1.0,0.9,0.99,0.78,0.96,1.0,1.07,1.06,0.98
h_0,0.93,1.17,0.99,1.04,0.93,0.91,0.9,1.06,1.01,0.95,1.02,0.99,0.95,1.0,0.79,1.05
e_0,1.02,1.15,0.97,1.13,1.12,0.87,0.96,0.8,0.96,1.02,0.99,0.58,0.92,1.29,1.0,0.83
g_0,1.17,0.99,0.94,0.97,1.0,0.79,0.88,1.0,0.98,1.07,1.0,1.08,1.04,0.97,1.17,1.0
