,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,1.02,0.87,1.26,1.56,2.94,19.4,34.86,26.83,35.6,37.62,50.49,65.87,105.9,109.51,124.04
d_1,0.96,1.0,1.11,0.99,1.38,2.95,16.48,27.1,32.21,23.16,37.91,38.34,67.19,76.2,97.98,113.23
f_1,1.17,0.89,1.0,1.07,1.31,2.83,14.11,24.66,23.65,27.55,29.92,37.05,58.77,91.1,74.76,100.79
c_1,0.8,1.01,0.94,1.0,1.88,2.96,16.84,16.28,24.06,26.12,25.37,37.84,60.53,82.8,84.03,87.52
b_1,0.64,0.73,0.74,0.53,1.0,3.16,12.46,15.99,18.51,18.76,21.95,27.48,48.46,65.33,60.31,69.24
a_1,0.33,0.34,0.36,0.34,0.33,1.0,5.92,8.49,8.04,9.37,12.77,14.33,22.27,31.19,31.04,33.47
h_1,0.05,0.06,0.07,0.06,0.08,0.16,1.0,1.35,1.4,1.85,1.86,2.23,3.58,5.62,4.93,6.18
d_0,0.03,0.04,0.04,0.06,0.06,0.11,0.76,1.0,0.85,1.24,1.32,1.63,2.58,3.44,3.64,4.5
c_0,0.04,0.03,0.04,0.04,0.05,0.12,0.67,1.17,1.0,1.0,1.64,1.64,2.68,3.38,3.58,4.67
g_1,0.03,0.04,0.04,0.04,0.05,0.11,0.55,0.85,0.94,1.0,1.29,1.68,2.05,3.22,3.43,3.77
b_0,0.03,0.03,0.04,0.04,0.04,0.08,0.53,0.72,0.6,0.77,1.0,1.12,1.93,2.81,2.39,4.13
f_0,0.02,0.03,0.03,0.03,0.04,0.07,0.44,0.62,0.62,0.59,0.89,1.0,1.62,1.97,2.73,2.74
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.27,0.39,0.36,0.49,0.5,0.63,1.0,1.57,1.22,1.52
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.28,0.28,0.31,0.35,0.52,0.63,1.0,1.0,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.27,0.28,0.28,0.4,0.38,0.78,1.0,1.0,1.22
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.23,0.21,0.28,0.25,0.38,0.66,0.9,0.8,1.0
