,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.67,1.08,0.77,0.9,0.69,0.77,0.86,0.89,0.81,0.62,0.58,0.48,0.63,,0.56
f_1,1.49,1.0,0.97,1.18,0.87,0.89,0.68,0.57,0.66,0.66,,0.57,0.55,0.42,0.42,0.63
d_1,0.93,1.03,1.0,0.9,0.99,1.11,0.87,0.66,0.8,,0.54,0.55,0.53,0.53,0.76,0.43
c_1,1.3,0.85,1.11,1.0,1.45,0.95,0.86,0.56,,0.47,0.69,0.64,0.61,0.62,0.58,0.53
b_1,1.12,1.16,1.01,0.69,1.0,1.14,0.89,0.64,0.76,0.68,0.83,,0.63,0.67,0.45,0.61
a_1,1.45,1.12,0.9,1.05,0.88,1.0,0.83,0.74,0.76,,0.7,0.63,,0.74,,0.58
h_1,1.3,1.47,1.15,1.17,1.12,1.2,1.0,1.29,0.87,0.99,0.91,0.92,0.85,,0.8,1.16
g_1,1.16,1.75,1.51,1.77,1.57,1.35,0.77,1.0,0.89,0.76,1.14,0.97,0.97,0.73,,
c_0,1.12,1.53,1.26,,1.32,1.32,1.14,1.13,1.0,0.98,0.85,1.49,1.03,0.85,0.98,0.92
d_0,1.24,1.52,,2.14,1.48,,1.01,1.31,1.03,1.0,0.78,0.89,0.96,1.08,0.78,0.9
f_0,1.62,,1.85,1.44,1.2,1.42,1.1,0.88,1.18,1.28,1.0,0.8,0.75,0.93,1.35,0.83
b_0,1.72,1.75,1.81,1.56,,1.59,1.09,1.03,0.67,1.13,1.25,1.0,1.35,0.85,0.66,0.93
a_0,2.07,1.81,1.89,1.63,1.6,,1.18,1.03,0.97,1.05,1.33,0.74,1.0,1.19,,0.83
h_0,1.58,2.38,1.9,1.62,1.49,1.36,,1.37,1.18,0.93,1.07,1.17,0.84,,0.73,0.88
e_0,,2.37,1.31,1.72,2.22,,1.26,,1.02,1.29,0.74,1.52,,1.36,1.0,0.97
g_0,1.77,1.59,2.33,1.89,1.64,1.72,0.86,,1.08,1.11,1.21,1.07,1.21,1.13,1.03,
