,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.18,18.05,12.99,11.1,13.9,,3.59,2.37,2.52,,2.94,2.26,2.1,3.31,2.19,1.02
e_1,15.47,0.17,7.35,10.37,13.16,11.93,4.49,4.19,2.59,3.34,2.13,3.51,1.59,3.08,,2.25
f_1,11.34,14.11,0.17,14.62,13.4,12.25,2.85,6.87,2.37,2.42,2.66,,1.2,2.53,2.69,1.84
c_1,17.5,11.14,9.97,0.14,15.08,17.18,3.91,2.84,,1.33,3.57,3.21,1.72,,,2.25
b_1,14.39,17.95,12.95,7.37,0.13,,2.69,3.12,3.51,2.18,,2.98,1.28,3.53,3.45,1.99
a_1,,10.6,12.81,16.04,,0.09,3.06,4.35,2.66,2.4,4.38,1.97,3.12,,,1.32
h_1,3.02,3.95,4.0,3.04,2.69,4.14,0.07,1.17,0.82,0.66,0.61,0.57,,0.54,0.67,0.46
g_1,3.34,3.61,4.48,3.52,3.25,2.97,0.68,0.06,0.85,0.71,0.8,0.83,0.31,0.76,0.85,
c_0,1.56,3.34,2.76,,2.66,4.0,0.85,0.64,0.09,0.59,0.44,0.51,0.31,0.33,0.51,0.3
d_0,,1.34,2.88,2.46,2.58,2.1,0.64,0.92,0.51,0.08,0.72,0.53,0.33,0.73,0.39,0.43
b_0,2.53,2.29,2.38,3.26,,3.45,0.81,0.68,0.23,0.51,0.08,0.55,0.6,0.61,0.68,0.56
f_0,2.53,4.01,,2.21,3.13,1.82,0.83,0.45,0.5,0.57,0.79,0.07,0.46,0.44,0.43,0.19
h_0,1.62,1.59,1.61,1.78,2.96,1.43,,0.48,0.28,0.36,0.32,0.3,,0.26,0.31,0.34
a_0,2.42,2.13,2.76,,3.28,,0.84,0.87,0.57,0.64,0.24,0.43,0.35,0.05,,0.38
e_0,2.36,,2.96,,1.95,,0.67,0.57,0.62,0.39,0.78,0.26,0.4,,0.05,0.49
g_0,1.55,2.01,3.07,1.39,1.55,1.69,0.31,,0.39,0.41,0.27,0.47,0.2,0.44,0.35,
