,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.05,1.98,1.6,1.53,1.43,1.2,0.48,0.61,0.49,0.43,0.46,0.55,0.29,0.37,0.37,0.32
e_1,1.15,1.05,1.79,1.84,1.68,1.57,0.66,0.66,0.66,0.54,0.56,0.62,0.4,0.48,0.43,0.49
d_1,1.91,1.97,1.05,1.93,1.78,1.37,0.64,0.47,0.69,0.53,0.52,0.45,0.39,0.47,0.28,0.46
c_1,1.92,1.64,2.03,1.05,2.08,1.68,0.72,0.67,0.36,0.63,0.48,0.53,0.46,0.51,0.39,0.42
b_1,2.37,2.0,2.13,1.36,1.06,2.12,0.94,0.79,0.69,0.86,0.88,0.6,0.53,0.54,0.51,0.61
a_1,3.25,2.59,2.99,2.41,1.55,1.07,1.23,1.02,0.83,1.01,1.0,0.79,0.71,0.95,0.59,0.68
h_1,5.77,4.75,4.45,4.75,4.37,3.62,1.28,1.89,1.57,1.25,1.31,1.28,1.29,1.08,1.24,1.16
g_1,5.52,5.98,5.67,5.45,5.27,4.4,1.7,1.29,1.92,1.57,1.67,1.66,1.08,1.45,1.45,1.35
d_0,6.07,3.72,6.2,7.13,5.49,4.81,2.14,2.11,1.42,1.5,1.82,1.57,1.55,1.68,1.36,1.66
c_0,7.67,6.24,4.25,7.7,5.64,4.45,2.33,2.24,2.32,1.4,2.19,1.53,1.6,1.72,1.36,1.65
b_0,7.24,5.93,5.18,8.47,6.83,4.62,2.38,2.28,1.83,1.13,1.39,1.56,1.45,1.91,1.21,1.45
f_0,8.35,6.57,7.25,6.7,6.2,5.93,2.89,1.91,2.22,2.05,2.15,1.41,1.56,1.85,1.07,2.08
h_0,8.98,8.36,7.31,7.36,6.13,5.48,3.64,3.16,2.33,2.0,2.2,2.07,2.06,1.85,1.74,1.57
a_0,9.1,9.25,7.63,8.27,9.45,8.41,3.07,2.85,2.78,1.96,1.55,2.25,1.77,1.5,1.8,1.84
g_0,10.39,8.49,10.13,9.91,7.72,7.75,2.8,3.81,3.07,2.47,2.69,2.69,1.74,2.47,2.1,2.3
e_0,14.79,10.65,8.78,9.33,8.82,8.94,3.36,3.61,2.68,2.41,2.56,1.48,2.38,2.24,1.77,1.54
