,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.44,1.35,1.32,1.71,1.52,1.72,3.16,4.53,3.1,3.27,3.23,3.62,3.88,3.55,4.14,2.87
f_1,2.27,2.52,1.37,1.52,1.29,1.18,2.29,3.42,2.88,3.14,3.23,2.43,3.57,3.18,3.86,2.18
d_1,1.49,1.65,2.56,1.28,1.39,1.4,3.0,2.83,2.59,4.85,3.87,3.32,4.3,3.45,3.67,3.71
c_1,1.35,1.48,1.51,2.57,2.24,1.53,2.85,2.61,2.52,2.14,2.53,2.74,4.0,2.96,3.74,3.42
b_1,1.35,1.52,1.52,1.29,2.69,2.34,2.96,2.86,2.76,3.25,2.52,3.54,3.76,2.63,3.57,3.75
a_1,1.28,1.58,1.66,1.65,1.41,3.26,3.02,3.25,3.0,3.58,3.86,3.58,4.52,3.46,3.97,3.51
h_1,1.38,2.06,1.68,1.48,1.35,1.3,4.3,3.42,3.63,3.35,2.96,3.29,3.63,3.6,5.92,3.45
d_0,1.35,1.55,1.28,2.51,1.64,1.53,2.68,4.2,2.79,2.48,3.14,3.27,4.72,3.17,4.33,3.21
g_1,1.39,1.39,2.08,1.65,1.5,1.35,2.67,2.98,4.81,3.23,3.27,4.8,3.81,3.65,4.2,3.93
c_0,1.61,1.72,1.41,1.61,1.37,1.57,3.01,3.87,3.28,4.35,5.9,3.74,4.75,4.22,4.72,3.68
b_0,1.7,1.68,1.52,1.86,1.34,1.01,3.5,3.34,3.48,2.67,4.7,3.66,4.94,6.08,4.27,3.15
f_0,1.19,1.39,1.9,1.74,1.57,1.57,3.09,3.34,2.94,3.14,3.28,4.7,4.56,3.34,4.18,6.79
h_0,1.59,2.01,1.57,1.56,1.62,1.34,2.5,2.92,3.76,2.99,3.22,3.28,3.74,3.35,4.88,3.53
a_0,1.46,1.86,1.74,1.71,1.44,0.98,3.38,3.49,3.27,3.32,3.13,3.76,5.21,5.39,5.38,3.39
g_0,1.33,1.48,2.36,1.55,1.61,1.48,2.42,2.65,2.59,3.38,3.26,4.62,3.96,2.81,3.99,3.91
e_0,1.28,2.07,1.76,1.61,1.48,1.37,3.49,3.07,3.37,3.43,3.83,2.92,4.57,3.48,4.7,5.52
