,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.11,0.14,0.17,0.17,0.08,0.23,0.31,0.18,0.22,0.19,0.2,0.2,0.17,,0.18
d_1,0.18,1.51,0.19,0.14,0.16,0.11,0.2,,0.16,0.29,0.17,0.24,0.18,0.17,0.19,0.22
f_1,0.24,0.16,1.52,0.17,0.15,0.13,0.16,0.23,0.16,0.18,0.23,,0.21,0.21,0.16,0.2
c_1,0.18,0.18,0.15,1.54,0.27,0.14,0.22,0.19,0.18,,0.15,0.17,0.19,0.14,0.18,0.27
b_1,0.16,0.19,0.18,0.13,1.6,0.23,0.21,0.21,0.23,0.22,,0.21,0.23,0.14,0.18,0.17
a_1,0.27,0.19,0.19,0.21,0.12,1.75,0.19,0.16,0.22,0.23,,0.16,0.25,,,0.18
h_1,0.37,0.41,0.55,0.37,0.34,0.34,1.62,0.44,0.55,0.44,0.48,0.44,,0.37,0.36,0.35
d_0,0.45,,0.46,0.68,0.41,0.46,0.64,1.4,0.44,0.51,0.59,0.42,0.65,0.43,0.32,0.51
g_1,0.37,0.61,0.37,0.42,0.32,0.34,0.36,0.49,1.71,0.42,0.42,0.64,0.37,0.4,0.43,
c_0,0.4,0.49,0.57,,0.42,0.34,0.52,0.56,0.59,1.41,0.7,0.57,0.78,0.34,0.35,0.5
b_0,0.55,0.5,0.42,0.52,,,0.63,0.51,0.45,0.56,1.47,0.56,0.67,0.84,0.33,0.52
f_0,0.53,0.44,,0.47,0.45,0.43,0.54,0.61,0.46,0.67,0.57,1.48,0.53,0.52,0.75,0.47
h_0,0.63,0.73,0.66,0.57,0.49,0.57,,0.76,0.82,0.45,0.6,0.61,,0.6,0.6,1.03
a_0,0.53,0.47,0.4,0.62,0.4,,0.59,0.69,0.51,0.78,0.37,0.55,0.84,1.57,,
e_0,,0.43,0.55,0.36,0.4,,0.68,0.93,0.5,0.71,0.72,0.43,0.61,,1.67,0.63
g_0,0.52,0.77,0.59,0.49,0.62,0.5,0.81,0.7,,0.91,0.75,0.74,0.76,,0.63,
