,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,14101.99,5000.31,5023.04,5865.54,16598.21,48671.02,4988120.12,9525510.37,15956117.84,11003861.77,43643578.37,28332351.24,242432509.79,172214342.73,169466201.96,344191935.76
f_1,5019.21,14424.2,5844.59,10297.34,7603.91,40844.52,5054303.74,8908427.21,17738289.29,23701671.69,22372792.53,48774099.53,191056913.27,104757718.44,217112062.11,306778038.29
d_1,4139.29,5843.28,16554.28,5716.0,8431.73,44858.37,5553039.77,10338707.15,10854252.92,47389896.4,48381331.43,71851118.23,236467473.76,207827820.96,220867469.53,390996119.58
e_1,6219.27,5025.61,4771.78,18487.11,8971.0,47864.24,4612784.94,9964899.52,31959665.58,21394465.41,44645995.57,45387748.46,222429604.22,117285996.35,205280025.06,391486398.45
b_1,5081.41,5021.99,5538.3,5730.67,28148.32,106036.24,5105137.76,8436298.59,15744620.67,21240435.1,40129427.9,28567922.84,229988156.11,164352125.09,163756098.21,329518999.53
a_1,5897.94,5952.84,4957.83,5438.79,8055.07,248869.87,5188173.96,11289903.69,18025354.44,25752451.09,49511291.3,47047625.55,232691212.52,228350066.73,162588409.2,362440352.74
h_1,5467.23,7556.18,6734.29,6242.31,7956.57,58040.38,10928937.53,13623749.8,16262238.08,27758735.81,48554911.87,55066561.52,180733770.77,185288747.42,232641292.57,512717713.6
g_1,5135.42,5019.78,10034.13,5334.2,8519.82,45920.01,6411528.02,24564869.43,16665296.91,28003891.99,77796155.6,49220100.52,220424774.05,241516449.98,207531315.3,339784321.22
d_0,9777.73,5585.07,4116.68,6608.82,10414.29,56109.26,5086480.37,10115889.57,30475953.37,16154103.38,47121946.16,45264988.01,222167276.53,176615099.99,237381945.25,394496081.25
c_0,4887.49,6337.61,7268.73,6226.37,6820.43,48664.42,6433684.9,12600053.8,19164211.25,47585794.39,51279764.94,111892863.81,293778992.71,232661687.45,285316842.01,473269483.72
f_0,5976.25,4203.4,7709.12,5805.8,10461.41,60693.31,6473512.94,11714604.56,17087861.85,29188482.5,84010005.96,61715392.29,261119431.87,426555845.74,235085913.76,442105388.22
b_0,5430.35,7024.5,7020.71,6675.96,6336.63,39603.13,6148516.17,11054699.83,20487974.53,27735720.16,39398842.77,92407381.01,294943666.78,214222164.89,485413178.61,449195916.54
h_0,5563.88,7299.17,6530.96,6653.78,9046.99,51606.4,4660251.9,15219538.67,18912930.49,26735694.76,49582133.57,52967193.7,190923355.73,207940092.89,276897398.52,545075342.16
e_0,5934.81,7064.87,7061.05,4420.45,10046.28,63923.98,6662769.35,12132683.38,16558862.03,24045475.72,53777156.09,47534661.01,307232986.23,450390637.2,234092003.58,443836382.86
a_0,5418.74,6004.18,7795.67,6534.0,9466.44,37411.52,6313667.57,11690370.28,18164771.08,25202944.27,36341113.06,53166484.98,243114797.8,190659435.75,490524526.62,417188905.2
g_0,5746.67,4718.4,9732.57,5343.88,9677.56,42104.74,5469058.11,7719420.19,17337672.0,31271987.57,69886648.47,59836138.13,265265137.39,225985891.63,255005122.05,351212597.45
