,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.88,0.09,0.07,0.09,0.07,0.04,0.07,0.17,0.06,0.06,0.07,0.06,0.08,0.02,0.04,0.05
f_1,0.17,0.88,0.07,0.08,0.07,0.04,0.07,0.07,0.05,0.07,0.07,0.01,0.07,0.04,0.05,0.05
d_1,0.09,0.09,0.88,0.06,0.07,0.04,0.08,0.02,0.06,0.16,0.08,0.08,0.08,0.05,0.04,0.04
c_1,0.08,0.09,0.09,0.88,0.13,0.05,0.08,0.06,0.06,0.01,0.06,0.06,0.07,0.03,0.04,0.06
b_1,0.11,0.08,0.08,0.07,0.88,0.09,0.07,0.09,0.06,0.05,0.01,0.08,0.09,0.04,0.03,0.06
a_1,0.08,0.11,0.09,0.07,0.05,0.87,0.07,0.09,0.05,0.11,0.07,0.06,0.08,0.05,,0.06
h_1,0.14,0.24,0.15,0.15,0.13,0.07,0.52,0.15,0.12,0.12,0.12,0.08,0.03,0.06,0.06,0.1
d_0,0.18,0.17,0.04,0.28,0.13,0.06,0.12,0.38,0.1,0.11,0.1,0.13,0.1,0.07,0.07,0.09
g_1,0.15,0.13,0.24,0.13,0.12,0.08,0.1,0.11,0.52,0.12,0.1,0.19,0.12,0.09,0.1,0.03
c_0,0.17,0.21,0.2,0.07,0.09,0.06,0.15,0.11,0.11,0.39,0.23,0.11,0.13,0.1,0.08,0.11
b_0,0.24,0.19,0.17,0.13,0.03,0.05,0.13,0.14,0.11,0.15,0.37,0.12,0.14,0.1,0.18,0.09
f_0,0.21,0.09,0.14,0.13,0.12,0.09,0.15,0.15,0.14,0.16,0.14,0.37,0.14,0.18,0.05,0.12
h_0,0.18,0.23,0.17,0.13,0.08,0.06,0.06,0.15,0.14,0.13,0.12,0.1,0.06,0.09,0.06,0.14
e_0,0.05,0.25,0.15,0.18,0.12,0.07,0.17,0.15,0.11,0.17,0.12,0.15,0.13,0.36,0.08,0.1
a_0,0.17,0.21,0.19,0.16,0.08,,0.14,0.13,0.16,0.12,0.14,0.09,0.14,0.11,0.35,0.1
g_0,0.12,0.14,0.22,0.19,0.13,0.05,0.12,0.12,,0.13,0.09,0.16,0.11,0.08,0.06,0.04
