,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.41,0.88,0.87,0.87,0.96,0.8,0.36,0.52,0.38,0.34,0.35,0.46,0.33,0.24,0.39,0.34
e_1,0.62,0.41,0.93,0.87,0.94,0.85,0.56,0.51,0.54,0.43,0.44,0.51,0.43,0.37,0.36,0.59
d_1,0.87,0.98,0.4,0.91,0.81,0.84,0.46,0.31,0.58,0.45,0.44,0.38,0.38,0.36,0.25,0.44
c_1,0.82,0.81,0.97,0.39,1.01,0.87,0.45,0.43,0.24,0.51,0.34,0.35,0.36,0.32,0.33,0.32
b_1,0.86,0.93,0.96,0.56,0.36,1.01,0.55,0.57,0.44,0.44,0.5,0.45,0.44,0.38,0.36,0.46
a_1,1.07,0.96,0.77,1.03,0.52,0.31,0.57,0.54,0.41,0.44,0.42,0.35,1.01,0.44,0.32,0.42
h_1,0.9,0.63,0.81,0.83,0.78,0.65,0.25,0.49,0.36,0.37,0.35,0.33,0.34,0.43,0.31,0.35
g_1,0.82,0.78,0.86,0.91,0.76,0.72,0.32,0.23,0.3,0.33,0.35,0.36,0.31,0.23,0.41,0.33
d_0,0.84,0.48,1.34,0.96,0.78,0.81,0.38,0.62,0.26,0.34,0.34,0.33,0.37,0.33,0.29,0.32
c_0,0.98,0.75,0.47,1.39,0.89,0.75,0.38,0.48,0.46,0.25,0.46,0.37,0.41,0.34,0.33,0.32
b_0,0.84,0.67,0.64,1.02,1.52,0.81,0.45,0.43,0.39,0.2,0.24,0.32,0.47,0.33,0.34,0.32
f_0,1.19,0.66,0.72,0.8,0.69,0.8,0.47,0.34,0.36,0.33,0.41,0.22,0.4,0.31,0.22,0.59
a_0,0.85,0.68,0.8,0.78,0.99,0.94,0.45,0.48,0.33,0.29,0.21,0.34,0.21,0.3,0.27,0.27
h_0,0.93,0.78,0.7,0.75,0.75,0.6,0.53,0.45,0.36,0.34,0.31,0.35,0.35,0.37,0.31,0.35
g_0,0.81,0.71,0.81,0.82,0.81,0.75,0.32,0.47,0.36,0.33,0.33,0.39,0.36,0.25,0.37,0.34
e_0,1.12,0.91,0.67,0.92,0.68,0.74,0.36,0.42,0.33,0.34,0.33,0.16,0.47,0.31,0.27,0.19
