,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.78,1.24,1.04,0.88,1.14,1.35,1.04,1.02,1.05,1.12,1.06,1.1,1.29,1.13
d_1,1.12,1.0,1.06,0.92,0.95,0.92,0.97,1.09,0.83,1.21,1.03,1.05,0.94,0.92,0.98,0.91
f_1,1.28,0.93,1.0,0.96,0.96,0.9,0.8,0.95,1.08,0.87,1.02,0.94,0.98,1.04,0.82,0.92
c_1,0.8,1.07,1.05,1.0,1.49,0.9,1.03,0.74,0.95,0.83,0.79,0.94,0.86,0.9,1.01,1.09
b_1,0.97,1.05,1.04,0.67,1.0,1.63,1.02,0.99,1.14,1.1,0.94,1.0,1.18,0.82,1.05,0.97
a_1,1.16,1.08,1.12,1.09,0.61,1.0,1.05,0.92,1.08,1.11,1.15,0.96,1.02,1.18,1.01,1.06
h_1,0.87,1.06,1.28,0.97,0.98,0.91,1.0,0.9,1.11,0.92,1.02,0.83,0.97,0.97,0.88,1.06
d_0,0.73,0.92,1.0,1.43,1.05,1.11,1.15,1.0,1.06,0.76,1.05,0.9,1.08,1.05,0.89,1.04
g_1,1.0,1.23,0.88,1.05,0.89,0.88,0.92,0.93,1.0,0.94,0.98,1.27,0.77,0.88,0.99,1.07
c_0,0.97,0.81,1.15,1.14,0.88,0.92,1.12,1.34,1.07,1.0,1.46,1.03,1.21,1.05,1.02,0.96
b_0,1.01,0.93,1.03,1.27,1.12,0.85,0.98,0.96,1.01,0.7,1.0,0.94,1.19,1.47,0.93,0.99
f_0,0.93,0.99,1.1,1.03,0.98,0.98,1.14,1.09,0.8,1.01,0.98,1.0,0.96,1.11,1.53,0.88
h_0,0.92,1.03,1.08,1.14,0.88,0.91,1.03,0.94,1.26,0.85,0.82,0.96,1.0,0.9,0.83,1.18
a_0,0.92,1.09,0.93,1.06,1.36,0.79,1.0,0.96,1.23,0.91,0.67,0.99,1.13,1.0,0.95,0.88
e_0,0.8,1.03,1.26,1.04,0.99,0.82,1.16,1.09,0.99,0.97,1.04,0.65,1.22,1.06,1.0,1.09
g_0,0.86,1.14,1.02,0.96,0.94,0.91,0.92,0.97,0.96,1.08,1.06,1.16,0.84,1.1,0.93,1.02
