,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.09,2.55,1.5,2.48,2.32,2.27,0.65,0.53,0.74,0.51,0.49,0.59,0.35,0.43,0.61,0.38
d_1,3.09,1.08,2.56,2.6,2.28,1.97,0.61,0.74,0.46,0.47,0.49,0.49,0.3,0.42,0.38,0.23
f_1,2.39,2.36,1.1,2.52,2.3,2.05,0.51,0.52,0.82,0.49,0.49,0.71,0.3,0.47,0.51,0.37
c_1,2.09,3.25,2.8,1.1,2.64,2.31,0.81,0.35,0.78,0.8,0.51,0.56,0.37,0.47,0.6,0.42
b_1,2.89,3.43,3.12,1.81,1.12,3.42,0.98,0.6,0.89,0.91,0.9,0.63,0.5,0.59,0.66,0.48
a_1,5.33,5.48,4.46,3.8,2.24,1.12,1.47,1.12,1.39,1.09,1.41,0.99,0.66,1.43,0.95,0.8
h_1,8.55,8.99,10.1,8.93,8.32,8.04,1.52,1.89,2.66,1.92,1.6,1.69,1.57,1.55,1.58,1.15
d_0,7.15,13.52,10.04,11.51,11.64,12.43,3.93,1.79,3.77,2.34,2.29,2.31,1.84,2.08,2.01,1.76
g_1,11.73,10.35,11.77,11.03,10.22,9.38,2.79,2.47,1.52,2.37,2.27,2.01,1.31,1.78,2.15,1.92
c_0,12.53,7.5,12.41,18.98,11.99,10.29,3.73,4.05,3.45,1.69,2.46,2.38,1.81,2.33,2.05,1.38
b_0,13.39,11.25,14.1,18.86,17.87,13.02,3.77,3.21,4.09,1.79,1.82,2.83,2.18,2.85,2.4,1.7
f_0,14.86,12.92,20.32,15.25,13.78,13.77,4.38,3.96,2.48,2.93,2.61,1.76,1.93,2.92,3.05,1.51
h_0,19.32,17.62,17.32,19.8,18.72,15.56,7.03,4.03,5.8,3.51,3.44,4.2,3.35,3.06,2.93,2.53
a_0,18.26,19.06,18.75,21.4,24.95,23.92,5.38,4.22,6.38,3.59,2.38,3.81,3.15,2.28,3.61,2.7
e_0,22.8,19.38,29.42,22.29,20.67,20.36,7.72,4.46,5.45,4.28,4.69,2.29,2.96,3.85,2.14,2.47
g_0,22.8,21.14,22.31,23.79,20.83,20.58,5.52,5.09,7.38,5.17,4.57,4.4,2.51,4.81,3.84,3.38
