,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,17.04,1.25,0.42,0.44,0.39,0.62,0.74,0.76,0.78,0.77,1.05,0.31,0.97,0.84,0.94,0.61
e_1,0.65,17.62,0.4,0.65,0.46,0.4,0.93,0.96,0.89,2.07,0.92,1.08,1.06,1.1,0.97,0.5
d_1,0.52,0.45,20.11,0.47,0.6,0.42,0.99,2.1,0.76,0.27,0.95,1.02,0.92,0.92,0.95,1.24
c_1,0.49,0.4,0.57,19.1,1.29,0.56,0.86,0.26,0.72,0.82,0.64,0.87,0.99,0.75,1.01,0.9
b_1,0.47,0.44,0.63,0.62,21.83,1.2,0.86,0.76,0.7,0.83,0.35,0.94,0.84,0.9,0.74,0.88
a_1,0.43,0.54,0.59,0.58,0.49,35.51,0.9,0.96,1.1,0.89,1.04,1.07,1.08,0.36,0.88,0.91
h_1,0.95,0.53,0.86,0.56,0.58,0.67,5.53,1.03,1.63,1.17,1.3,1.13,0.52,0.91,1.95,1.03
c_0,0.93,0.59,0.69,0.4,0.47,0.67,1.21,3.31,1.74,1.29,3.51,1.52,1.37,1.57,1.1,1.5
g_1,0.61,0.58,1.22,0.65,0.67,0.57,1.04,1.13,7.13,0.93,1.1,1.92,1.01,1.15,0.51,1.2
d_0,0.73,0.54,0.38,1.93,0.6,0.61,1.14,0.72,1.23,3.31,1.44,1.19,1.21,1.45,1.72,1.44
b_0,0.95,0.63,0.77,0.8,0.2,0.58,0.92,1.14,1.21,1.36,4.52,1.3,1.44,3.49,1.37,1.2
f_0,0.4,0.44,0.86,0.81,0.76,0.74,1.31,1.22,1.27,1.19,1.19,4.35,1.15,1.39,1.1,4.09
h_0,1.36,0.62,0.71,0.72,0.57,0.63,0.53,1.07,2.0,1.08,1.23,1.1,0.78,1.09,1.5,0.83
a_0,0.74,0.56,1.09,0.69,0.67,0.29,1.21,1.09,0.99,1.42,1.18,1.25,1.5,4.77,1.19,1.51
g_0,0.55,0.58,1.33,0.76,0.66,0.49,1.08,1.29,0.87,1.11,1.23,2.11,1.26,0.89,0.67,1.56
e_0,0.81,0.31,0.82,0.87,0.66,0.69,1.02,1.55,0.85,1.18,0.98,1.28,1.4,0.97,1.53,5.35
