,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.93,1.33,1.99,1.8,4.64,26.17,44.58,39.77,34.38,47.47,61.28,92.36,142.49,140.55,202.53
f_1,1.1,1.0,1.13,1.33,1.62,3.27,17.53,28.89,33.5,30.9,43.94,40.08,67.91,81.32,119.13,143.0
d_1,0.72,0.88,1.0,0.97,1.19,2.52,17.28,22.69,20.31,32.9,36.98,39.3,62.38,95.49,95.73,97.03
c_1,0.5,0.77,1.02,1.0,1.61,2.74,15.78,13.69,25.97,21.3,29.52,38.43,56.93,75.98,81.56,103.4
b_1,0.57,0.6,0.82,0.62,1.0,3.5,13.62,17.6,21.83,21.62,32.8,33.6,59.91,68.78,74.94,94.71
a_1,0.22,0.3,0.4,0.37,0.29,1.0,6.44,7.5,8.66,10.06,12.87,14.45,21.69,30.1,38.29,44.36
h_1,0.04,0.06,0.06,0.06,0.07,0.16,1.0,1.26,1.8,1.43,1.98,1.86,3.61,4.84,5.11,7.77
d_0,0.02,0.04,0.04,0.07,0.06,0.13,0.84,1.0,1.22,1.05,1.48,1.85,2.79,3.65,4.27,6.35
g_1,0.02,0.03,0.05,0.04,0.05,0.11,0.54,0.8,1.0,1.0,1.45,1.92,2.19,3.5,3.74,4.54
c_0,0.03,0.03,0.03,0.05,0.05,0.1,0.71,0.93,0.97,1.0,1.77,1.69,2.41,3.65,4.17,4.56
b_0,0.02,0.02,0.03,0.03,0.03,0.07,0.51,0.67,0.72,0.58,1.0,1.14,1.9,2.81,3.89,3.47
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.54,0.51,0.53,0.63,0.88,1.0,1.52,3.04,2.12,2.52
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.27,0.35,0.45,0.4,0.55,0.67,1.0,1.43,1.56,2.46
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.26,0.27,0.3,0.36,0.35,0.72,1.0,1.05,1.41
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.2,0.23,0.27,0.24,0.26,0.5,0.62,1.01,1.0,1.26
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.16,0.21,0.23,0.31,0.4,0.42,0.7,0.78,1.0
