,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,108.27,61.07,63.13,110.7,167.26,588.08,9218.87,16711.29,19142.05,32280.59,27290.38,46047.03,110703.07,121639.75,120208.01,187593.86
f_1,96.49,113.2,64.36,92.81,129.96,532.63,7499.21,15434.55,18139.75,20129.68,25125.69,29085.07,89057.51,119918.61,93732.01,167339.23
d_1,63.93,76.28,114.8,80.37,137.27,540.94,8959.64,15100.05,29032.36,17953.41,30068.23,39809.27,106571.42,126861.66,146720.9,172927.8
c_1,52.78,62.64,56.83,147.48,242.07,461.8,6574.11,13460.91,12099.25,16285.0,18728.93,31503.79,94443.97,114186.22,105605.85,146017.75
b_1,45.59,53.96,54.35,58.0,228.11,858.44,6451.45,11766.61,15090.14,13038.85,14318.99,24963.68,81032.64,77196.24,97879.06,139319.07
a_1,30.11,35.71,38.92,52.33,56.88,677.6,4305.37,7063.75,8874.01,11337.67,13824.99,18104.57,63193.83,47760.44,71210.16,95517.79
h_1,15.72,21.91,18.42,24.76,43.84,134.3,3036.13,4986.62,4765.92,4780.42,6277.18,8977.12,22885.03,35230.7,35746.22,58799.75
g_1,11.41,12.89,20.46,17.27,32.24,120.7,1719.14,5125.36,4089.29,3388.61,4891.4,11344.66,23048.41,27320.04,29985.55,33264.5
c_0,13.58,15.4,13.56,18.86,26.98,119.47,1790.17,3369.4,4969.13,4304.41,7982.37,7802.38,23040.14,29807.4,30094.09,40581.97
d_0,10.32,13.05,10.58,30.17,36.94,104.78,1669.81,3366.28,3158.16,5259.43,4593.31,7935.33,20327.21,27266.33,27307.17,37333.99
b_0,12.65,13.65,12.08,19.34,25.74,88.3,1719.09,2935.89,3063.42,4228.96,6302.03,7709.9,22732.14,39815.53,28028.48,36022.75
f_0,7.96,10.94,11.76,17.97,28.35,94.57,1457.97,2508.69,3269.74,3561.06,4477.62,8593.81,19468.06,23049.48,42226.77,26055.54
h_0,8.17,11.63,9.11,10.51,18.57,62.22,882.96,2117.33,2414.1,2498.92,2822.34,4850.18,11600.05,16395.12,18325.87,29327.59
a_0,7.47,7.77,8.87,10.29,19.44,57.17,945.69,1808.92,2140.32,2061.01,2428.23,4061.53,12582.8,19671.0,13948.99,21134.69
e_0,5.4,8.88,7.62,12.91,18.78,58.26,922.68,1565.66,1872.31,2280.73,3035.51,3758.16,11308.84,15712.17,22400.49,19940.86
g_0,6.08,7.28,9.65,9.43,15.88,55.47,854.94,1566.5,2095.23,1896.06,2680.26,5380.02,9612.59,13497.64,15539.92,17867.45
