,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.07,0.97,0.83,0.9,0.8,0.74,0.85,0.56,0.66,0.71,0.6,0.6,0.58,0.47,0.6
f_1,0.93,1.0,1.27,0.97,0.85,0.79,0.62,0.57,0.67,0.67,0.58,0.54,0.51,0.54,0.58,0.45
e_1,1.04,0.79,1.0,1.13,1.03,0.84,0.71,0.67,0.7,0.89,0.68,0.77,0.65,0.6,0.65,0.6
c_1,1.18,1.06,0.88,1.0,1.46,0.77,0.61,0.63,0.67,0.51,0.51,0.57,0.6,0.54,0.58,0.61
b_1,1.13,1.16,0.98,0.69,1.0,1.37,0.88,0.76,0.75,0.63,0.76,0.72,0.66,0.63,0.67,0.61
a_1,1.26,1.27,1.18,1.27,0.73,1.0,0.92,0.76,0.9,0.76,0.86,0.77,0.79,0.69,0.8,0.62
h_1,1.35,1.57,1.36,1.64,1.16,1.07,1.0,0.88,1.11,0.92,0.82,0.87,0.82,0.73,0.9,0.76
c_0,1.2,1.7,1.63,1.52,1.24,1.35,1.14,1.0,1.07,1.12,1.42,0.93,1.0,1.05,0.91,0.9
g_1,1.73,1.53,1.39,1.51,1.31,1.12,0.88,0.92,1.0,0.87,0.88,0.98,0.81,0.86,0.76,0.87
d_0,1.52,1.46,1.11,1.9,1.61,1.37,1.09,0.87,1.09,1.0,1.02,0.9,0.93,0.9,0.95,0.8
b_0,1.43,1.67,1.59,1.89,1.33,1.15,1.17,0.76,1.11,1.01,1.0,1.07,0.97,1.32,0.95,0.97
f_0,1.67,1.71,1.31,1.71,1.45,1.32,1.17,1.06,1.03,1.04,0.98,1.0,1.02,1.07,0.74,1.35
h_0,1.68,1.89,1.57,1.59,1.57,1.29,1.24,1.0,1.18,1.07,1.01,0.98,1.0,0.92,1.1,0.87
a_0,1.7,1.82,1.69,1.9,1.63,1.3,1.38,0.99,1.14,1.16,0.79,1.05,1.1,1.0,1.09,1.1
g_0,2.07,1.72,1.53,1.75,1.52,1.26,1.14,1.13,1.23,1.03,1.02,1.32,0.9,0.91,1.0,1.06
e_0,1.72,2.18,1.72,1.61,1.56,1.49,1.35,1.21,1.14,1.29,1.02,0.76,1.14,0.93,0.9,1.0
