,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,24.49,0.4,0.24,0.39,0.3,0.36,0.81,1.56,0.59,0.69,0.86,0.76,0.77,0.85,0.32,1.07
f_1,0.6,24.29,0.33,0.38,0.3,0.38,0.55,0.79,0.69,0.71,0.78,0.13,0.79,0.61,0.72,0.63
d_1,0.29,0.37,27.5,0.26,0.42,0.33,0.73,0.21,0.8,1.79,0.89,0.77,0.97,0.66,1.01,0.85
c_1,0.3,0.27,0.41,27.37,0.54,0.31,0.75,0.75,0.81,0.19,0.65,1.04,1.04,0.78,0.76,0.69
b_1,0.33,0.28,0.41,0.31,32.22,0.74,0.63,0.71,0.65,0.66,0.15,0.78,0.77,0.66,0.76,0.91
a_1,0.3,0.32,0.4,0.34,0.39,47.13,0.66,0.9,0.78,0.66,0.88,0.72,0.93,0.31,0.73,0.79
h_1,0.73,1.05,0.58,0.52,0.46,0.43,9.84,1.09,1.42,1.36,1.64,1.86,0.67,1.89,1.36,2.06
d_0,0.75,0.73,0.14,1.56,0.49,0.56,1.47,4.79,1.21,1.28,1.55,1.42,1.48,1.15,1.42,1.83
g_1,0.54,0.42,0.92,0.6,0.85,0.63,1.29,1.55,11.86,1.16,1.4,2.66,1.75,1.72,1.19,0.39
c_0,0.8,0.82,0.71,0.22,0.61,0.48,1.54,1.37,1.34,6.14,3.16,1.93,1.7,1.75,1.69,1.68
b_0,0.74,0.94,0.64,0.71,0.2,0.57,1.3,1.38,1.42,1.74,6.02,1.66,2.1,3.31,1.57,2.24
f_0,0.55,0.25,0.93,0.73,0.72,0.56,1.84,1.24,1.6,1.49,2.08,6.42,1.34,2.05,3.89,1.79
h_0,0.38,0.98,0.6,0.7,0.79,0.44,0.59,1.51,1.7,1.78,1.77,1.88,0.63,1.58,1.7,2.17
a_0,0.57,0.85,0.81,0.63,0.47,0.25,1.67,1.62,1.49,1.91,1.54,1.68,2.14,9.25,1.84,1.74
e_0,0.18,0.84,0.72,0.78,0.62,0.75,2.08,1.58,1.45,1.56,1.59,1.17,1.97,2.14,8.99,1.56
g_0,0.52,0.49,1.18,0.86,0.56,0.61,1.59,1.17,,1.41,1.51,2.71,1.44,1.21,1.43,0.89
