,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.26,1.36,2.13,3.21,23.98,39.67,26.75,30.86,36.17,51.74,76.51,84.2,,127.2
f_1,1.2,1.0,0.94,1.22,1.56,3.82,15.09,25.98,29.22,24.19,41.19,,69.98,56.51,59.48,125.94
c_1,0.79,1.07,1.0,1.12,2.01,3.76,23.34,16.8,28.69,,27.52,38.0,66.5,80.79,74.86,104.15
d_1,0.73,0.82,0.89,1.0,1.35,2.44,15.92,,20.17,35.32,27.03,32.64,52.23,81.55,70.46,68.76
b_1,0.47,0.64,0.5,0.74,1.0,2.66,13.56,16.46,18.66,23.54,,27.43,40.96,55.4,64.42,99.93
a_1,0.31,0.26,0.27,0.41,0.38,1.0,7.35,9.21,,8.95,11.64,11.11,24.82,,28.57,29.57
h_1,0.04,0.07,0.04,0.06,0.07,0.14,1.0,1.11,1.72,1.05,1.84,2.2,,4.0,3.94,5.91
d_0,0.03,0.04,0.06,,0.06,0.11,0.9,1.0,1.29,1.01,1.28,1.2,2.42,2.79,3.73,4.71
g_1,0.04,0.03,0.03,0.05,0.05,,0.58,0.77,1.0,1.08,1.4,2.06,2.32,,4.3,
c_0,0.03,0.04,,0.03,0.04,0.11,0.96,0.99,0.92,1.0,1.89,1.5,2.01,2.83,,4.34
b_0,0.03,0.02,0.04,0.04,,0.09,0.54,0.78,0.72,0.53,1.0,1.06,1.76,2.94,2.85,4.03
f_0,0.02,,0.03,0.03,0.04,0.09,0.45,0.83,0.49,0.67,0.94,1.0,1.71,2.45,3.31,2.36
h_0,0.01,0.01,0.02,0.02,0.02,0.04,,0.41,0.43,0.5,0.57,0.58,,1.28,1.31,2.53
a_0,0.01,0.02,0.01,0.01,0.02,,0.25,0.36,,0.35,0.34,0.41,0.78,1.0,,1.19
e_0,,0.02,0.01,0.01,0.02,0.03,0.25,0.27,0.23,,0.35,0.3,0.76,,1.0,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.21,,0.23,0.25,0.42,0.4,0.84,0.77,
