,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.34,0.49,0.25,0.26,0.24,0.21,0.52,0.61,0.63,0.56,0.64,,0.79,0.72,0.62,0.47
e_1,0.21,2.39,0.26,0.29,0.35,0.32,0.4,0.49,0.99,0.72,0.58,0.68,0.67,0.58,0.68,
d_1,0.3,0.22,2.5,0.24,0.25,0.29,0.57,0.54,,0.99,0.64,0.71,0.93,0.51,0.57,0.62
c_1,0.28,0.3,0.28,2.59,0.41,0.34,0.59,0.53,0.51,,0.5,0.7,0.74,0.74,0.75,
b_1,0.31,0.27,0.25,0.27,2.77,0.33,0.74,0.5,0.48,0.68,,0.48,0.9,0.46,0.87,0.76
a_1,0.34,0.24,0.31,0.21,0.33,3.23,0.55,0.5,0.46,0.6,0.69,0.65,1.06,,0.62,
h_1,0.64,0.6,0.52,0.53,0.35,0.46,3.79,1.28,1.27,1.24,1.11,0.82,,1.24,2.23,1.41
g_1,0.48,0.61,0.68,0.59,0.5,0.56,1.03,4.19,1.22,0.84,0.93,1.66,1.4,,,
d_0,0.67,0.53,,1.06,0.78,0.63,1.16,1.03,3.46,1.47,1.6,1.46,1.51,,1.28,1.69
c_0,0.62,0.49,0.57,,0.53,0.6,1.42,1.28,1.25,3.54,2.18,1.37,1.89,1.46,1.75,1.78
b_0,0.61,0.52,0.62,0.59,,0.6,1.42,1.72,1.26,1.21,3.67,1.46,1.53,1.86,1.8,1.54
f_0,,0.55,0.67,0.58,0.63,0.53,1.53,1.09,1.55,1.58,1.16,3.99,1.54,1.41,1.74,
h_0,0.86,0.75,0.7,0.76,0.78,0.63,,1.56,1.8,1.75,1.8,1.8,,1.93,2.51,1.49
a_0,0.57,0.61,0.58,0.55,0.76,,1.24,,,1.15,1.26,1.49,1.62,4.49,2.22,1.74
g_0,0.78,0.74,1.27,0.69,0.58,0.77,1.09,,2.11,1.54,1.74,1.96,1.94,1.41,,1.5
e_0,0.84,,0.62,,0.49,,1.13,,1.12,1.39,1.37,,2.14,1.51,2.01,4.83
