,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.3,1.9,0.66,0.61,0.59,0.56,0.85,0.7,0.95,0.82,1.04,0.57,0.86,0.85,0.64,0.89
e_1,0.75,10.32,0.57,1.02,0.67,0.68,0.96,0.77,2.27,1.01,0.95,0.92,0.92,0.98,0.69,1.02
d_1,0.79,0.61,13.74,0.51,0.6,0.64,1.06,1.0,0.59,2.78,1.45,1.06,1.11,1.18,1.17,1.19
c_1,0.68,0.56,0.65,11.6,1.87,0.71,0.89,1.05,0.91,0.45,0.54,0.93,0.9,0.86,0.97,0.73
b_1,0.65,0.56,0.72,0.74,12.96,1.91,0.79,0.93,0.8,0.78,0.63,1.05,0.98,0.69,1.03,0.78
a_1,0.77,0.59,0.75,0.82,0.66,17.56,1.03,0.99,0.92,1.04,0.91,1.09,1.16,0.96,1.01,1.04
h_1,1.21,0.78,1.03,0.71,0.64,0.63,3.1,1.55,0.82,0.94,1.16,1.18,0.78,0.85,1.14,1.57
g_1,0.53,0.47,2.16,0.77,0.81,0.71,1.08,3.95,0.72,1.04,0.94,1.87,1.11,1.04,1.35,0.95
d_0,0.81,0.72,0.49,2.41,0.87,0.77,1.12,0.98,1.6,0.54,0.82,1.06,0.94,0.84,1.06,0.9
c_0,0.91,0.9,1.18,0.58,0.45,0.64,1.26,1.22,0.96,2.19,3.66,1.09,1.47,1.63,1.16,1.49
b_0,0.79,0.89,1.07,0.87,0.47,0.6,1.21,1.15,1.07,1.16,2.61,1.09,1.28,2.95,1.1,1.33
f_0,0.47,0.45,1.05,1.04,0.84,1.05,1.19,1.41,0.86,0.81,1.23,2.83,1.39,1.27,3.76,1.45
h_0,1.21,0.76,0.97,0.67,0.66,0.69,0.87,1.48,0.79,1.02,1.1,1.08,0.91,0.99,1.11,1.54
a_0,0.89,0.66,0.83,0.79,0.79,0.75,1.25,1.22,1.17,0.88,1.22,1.11,1.22,2.92,1.14,1.22
e_0,0.98,0.51,0.81,0.78,0.99,0.86,1.13,1.24,0.88,0.88,1.28,1.38,1.52,1.16,3.22,1.2
g_0,0.67,0.72,1.61,0.75,0.61,0.73,1.07,1.03,0.82,0.99,1.38,2.39,1.12,1.08,1.46,1.0
