,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.09,1.16,1.17,1.59,3.25,18.2,22.74,37.38,31.64,41.11,49.78,68.49,90.54,99.48,102.9
e_1,0.91,1.0,0.87,1.49,1.64,3.38,22.09,30.19,28.42,39.81,38.71,59.47,67.1,111.7,110.4,119.91
f_1,0.85,1.12,1.0,1.18,1.46,2.87,15.12,25.21,23.07,26.78,30.16,45.34,51.54,89.87,90.22,81.01
c_1,0.86,0.69,0.87,1.0,1.71,2.78,15.73,24.99,19.61,17.03,22.5,36.56,54.76,79.95,69.89,89.17
b_1,0.64,0.6,0.69,0.59,1.0,3.09,11.36,17.78,18.91,18.88,22.04,33.66,43.72,64.14,48.34,70.22
a_1,0.3,0.29,0.33,0.36,0.33,1.0,5.85,8.91,9.39,9.28,14.21,16.43,21.51,25.36,34.0,31.08
h_1,0.05,0.05,0.06,0.06,0.09,0.17,1.0,1.75,1.47,1.44,2.01,2.81,3.56,5.85,5.49,5.84
g_1,0.04,0.03,0.04,0.04,0.06,0.11,0.56,1.0,1.03,0.91,1.31,1.92,2.11,3.4,3.72,3.89
c_0,0.03,0.03,0.04,0.05,0.05,0.1,0.68,0.99,1.0,1.2,1.67,1.77,2.55,3.44,4.16,4.17
d_0,0.03,0.03,0.04,0.06,0.05,0.1,0.66,1.14,0.76,1.0,1.12,1.67,2.33,3.54,3.61,4.26
b_0,0.02,0.03,0.03,0.05,0.05,0.06,0.5,0.78,0.59,0.87,1.0,1.25,1.99,2.66,4.3,3.0
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.35,0.52,0.56,0.63,0.75,1.0,1.44,1.67,1.97,2.91
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.27,0.49,0.4,0.43,0.51,0.67,1.0,1.73,1.3,1.58
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.17,0.3,0.28,0.28,0.37,0.62,0.56,1.0,0.98,1.13
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.26,0.24,0.27,0.25,0.49,0.78,1.03,1.0,1.1
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.24,0.24,0.35,0.35,0.66,0.83,1.0,1.0
