,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.84,0.46,0.29,0.45,0.35,0.39,0.83,1.48,0.61,0.71,0.87,0.78,0.78,0.86,0.33,1.07
f_1,0.66,3.89,0.39,0.44,0.34,0.41,0.58,0.8,0.7,0.73,0.8,0.14,0.81,0.63,0.73,0.65
d_1,0.34,0.43,4.24,0.3,0.47,0.36,0.75,0.23,0.82,1.67,0.9,0.78,0.97,0.67,1.01,0.85
c_1,0.35,0.33,0.47,4.26,0.59,0.33,0.77,0.77,0.82,0.2,0.67,1.04,1.04,0.79,0.77,0.71
b_1,0.39,0.34,0.47,0.36,4.9,0.76,0.66,0.73,0.67,0.68,0.16,0.8,0.79,0.68,0.77,0.92
a_1,0.35,0.38,0.46,0.4,0.43,6.98,0.68,0.91,0.79,0.68,0.89,0.73,0.94,0.32,0.74,0.8
h_1,0.78,1.03,0.63,0.58,0.51,0.46,5.15,1.08,1.38,1.32,1.55,1.74,0.69,1.8,1.33,1.91
d_0,0.79,0.78,0.17,1.4,0.54,0.6,1.4,3.42,1.19,1.25,1.48,1.37,1.42,1.14,1.39,1.73
g_1,0.6,0.48,0.94,0.65,0.88,0.66,1.26,1.46,6.24,1.14,1.35,2.34,1.64,1.65,1.18,0.4
c_0,0.84,0.86,0.75,0.26,0.65,0.51,1.46,1.32,1.3,4.18,2.67,1.79,1.6,1.67,1.62,1.6
b_0,0.79,0.95,0.7,0.76,0.24,0.61,1.26,1.33,1.37,1.63,4.2,1.57,1.91,2.92,1.52,2.05
f_0,0.62,0.31,0.94,0.78,0.76,0.6,1.69,1.21,1.52,1.43,1.9,4.46,1.3,1.93,3.35,1.69
h_0,0.44,0.98,0.66,0.75,0.82,0.47,0.61,1.43,1.61,1.66,1.66,1.75,0.65,1.53,1.63,2.0
a_0,0.63,0.88,0.84,0.68,0.52,0.28,1.56,1.52,1.43,1.76,1.47,1.59,1.94,6.27,1.76,1.65
e_0,0.22,0.87,0.76,0.82,0.67,0.78,1.88,1.49,1.4,1.48,1.51,1.15,1.81,2.01,6.23,1.5
g_0,0.58,0.55,1.14,0.89,0.6,0.64,1.5,1.15,,1.36,1.45,2.38,1.38,1.2,1.4,0.9
