,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.91,0.56,0.29,0.25,0.24,0.14,0.3,0.29,0.18,0.28,0.25,0.15,0.25,0.19,0.13,0.24
e_1,0.39,0.9,0.39,0.25,0.23,0.19,0.29,0.51,0.22,0.26,0.26,0.25,0.28,0.17,0.14,0.22
c_1,0.34,0.32,0.9,0.28,0.48,0.17,0.27,0.26,0.2,0.15,0.2,0.2,0.27,0.18,0.12,0.22
d_1,0.36,0.33,0.25,0.91,0.24,0.2,0.29,0.2,0.25,0.47,0.31,0.2,0.32,0.2,0.15,0.23
b_1,0.36,0.28,0.31,0.32,0.89,0.36,0.31,0.23,0.2,0.23,0.15,0.22,0.28,0.14,0.15,0.25
a_1,0.36,0.29,0.34,0.34,0.24,0.89,0.34,0.29,0.24,0.25,0.25,0.25,0.29,0.11,0.21,0.22
h_1,0.52,0.35,0.33,0.34,0.27,0.17,0.6,0.29,0.29,0.28,0.29,0.21,0.22,0.2,0.21,0.31
d_0,0.38,0.32,0.62,0.22,0.28,0.19,0.28,0.48,0.25,0.23,0.31,0.23,0.35,0.22,0.22,0.24
g_1,0.38,0.33,0.34,0.47,0.29,0.18,0.3,0.25,0.59,0.27,0.27,0.36,0.33,0.22,0.22,0.19
c_0,0.42,0.36,0.26,0.36,0.23,0.17,0.35,0.33,0.27,0.5,0.58,0.24,0.36,0.31,0.23,0.28
b_0,0.42,0.38,0.39,0.32,0.21,0.15,0.34,0.35,0.24,0.28,0.5,0.26,0.37,0.45,0.23,0.25
f_0,0.31,0.31,0.38,0.35,0.33,0.19,0.35,0.35,0.27,0.27,0.28,0.48,0.42,0.27,0.47,0.23
h_0,0.55,0.4,0.3,0.36,0.26,0.18,0.24,0.28,0.33,0.25,0.29,0.23,0.22,0.19,0.21,0.32
a_0,0.43,0.42,0.38,0.35,0.28,0.13,0.3,0.33,0.25,0.32,0.22,0.23,0.36,0.46,0.21,0.29
e_0,0.37,0.25,0.39,0.41,0.31,0.2,0.33,0.26,0.31,0.33,0.33,0.22,0.36,0.22,0.42,0.25
g_0,0.36,0.33,0.35,0.52,0.32,0.19,0.3,0.3,0.19,0.27,0.26,0.37,0.3,0.18,0.25,0.2
