,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.24,0.9,0.98,0.82,0.59,0.43,0.41,0.47,0.37,0.37,0.37,0.3,0.29,0.28,0.33
e_1,0.81,1.0,0.82,1.21,0.95,0.68,0.52,0.63,0.46,0.4,0.44,0.4,0.35,0.36,0.37,0.32
d_1,1.1,1.2,1.0,0.85,0.84,0.75,0.53,0.45,0.34,0.57,0.41,0.43,0.32,0.33,0.34,0.26
c_1,1.03,0.84,1.18,1.0,1.32,0.79,0.5,0.33,0.47,0.4,0.4,0.35,0.34,0.33,0.34,0.32
b_1,1.21,1.07,1.2,0.76,1.0,1.18,0.56,0.45,0.48,0.48,0.45,0.39,0.34,0.39,0.35,0.38
a_1,1.67,1.46,1.3,1.27,0.84,1.0,0.81,0.69,0.67,0.61,0.55,0.74,0.61,0.49,0.44,0.42
h_1,2.35,1.92,1.9,1.94,1.75,1.26,1.0,0.78,0.98,0.77,0.76,0.72,0.61,0.72,0.6,0.7
d_0,2.4,1.61,2.21,3.0,2.33,1.47,1.26,1.0,1.02,0.86,0.83,0.97,0.74,0.83,0.8,0.8
g_1,2.18,2.18,2.86,2.16,1.97,1.57,0.99,0.99,1.0,0.89,0.99,0.94,0.78,0.67,0.79,0.76
c_0,2.79,2.4,1.8,2.49,2.12,1.47,1.31,1.13,1.14,1.0,0.93,1.27,0.92,0.88,0.83,0.76
f_0,2.62,2.3,2.49,2.46,2.27,1.73,1.37,1.15,1.01,0.99,1.0,1.11,0.9,0.87,1.33,0.6
b_0,2.77,2.48,2.38,2.85,2.52,1.37,1.34,1.05,1.07,0.8,0.91,1.0,1.26,0.92,0.85,0.76
a_0,3.47,2.95,3.03,2.93,3.03,1.74,1.65,1.32,1.21,1.15,1.09,0.85,1.0,1.07,0.99,0.98
h_0,3.51,2.82,3.0,2.98,2.53,1.98,1.38,1.19,1.49,1.15,1.08,1.18,0.91,1.0,0.93,1.06
e_0,3.52,2.69,2.94,2.97,2.92,2.25,1.54,1.13,1.36,1.19,0.86,1.19,1.04,1.11,1.0,0.84
g_0,3.04,3.02,3.73,3.16,2.6,2.36,1.46,1.27,1.3,1.29,1.77,1.35,0.99,0.97,1.22,1.0
