,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,5.69,9.98,8.91,7.16,8.23,3.93,3.3,2.64,3.16,2.56,2.78,3.14,1.83,,1.69
f_1,10.98,1.07,8.27,11.57,9.1,9.23,2.28,4.15,3.24,2.42,2.82,,2.29,1.51,2.21,1.73
d_1,10.06,12.02,1.07,8.04,9.5,8.8,3.64,2.31,,3.4,3.05,2.26,2.98,1.93,2.71,1.67
c_1,9.31,8.87,11.46,1.07,12.86,8.4,4.08,3.79,2.1,,3.25,2.73,2.79,1.7,2.56,2.15
b_1,12.65,10.13,10.84,5.87,1.07,9.56,4.37,4.47,3.6,3.39,,3.93,2.39,2.84,2.76,2.99
a_1,13.24,15.71,20.49,16.7,9.27,1.07,6.75,6.41,4.01,5.55,5.1,2.98,,3.37,3.04,
h_1,11.87,15.79,13.22,12.16,12.3,13.3,1.41,4.46,4.45,4.37,4.39,4.44,3.95,,2.92,3.09
g_1,17.13,18.06,17.36,14.01,11.95,11.56,4.76,1.41,5.26,4.78,4.18,6.74,3.7,3.86,3.48,
d_0,11.76,13.13,,14.64,13.41,14.55,4.76,5.0,1.72,4.84,3.7,3.04,5.29,3.6,3.34,3.17
c_0,12.78,18.95,9.03,,21.71,10.68,5.87,5.57,4.02,1.72,4.78,3.94,3.65,3.55,5.04,3.23
b_0,16.12,15.24,14.57,20.44,,12.48,5.59,6.99,4.84,2.95,1.68,4.86,4.42,3.57,4.21,3.27
f_0,22.48,,19.76,21.67,17.06,18.3,6.65,3.89,6.38,5.23,4.6,1.73,4.64,5.45,4.56,2.51
a_0,17.81,19.79,23.3,17.46,23.37,,7.35,8.17,5.99,5.65,4.02,5.01,1.77,4.15,,4.06
h_0,18.03,17.77,16.95,20.59,13.1,11.06,,6.14,4.15,4.64,4.87,3.99,3.85,,3.68,3.37
e_0,,31.0,20.89,22.12,28.62,21.35,8.7,8.0,7.5,5.36,6.26,3.93,,5.6,1.77,3.78
g_0,30.56,22.88,18.55,20.66,16.56,,6.92,,5.43,5.09,8.77,7.45,5.15,3.56,5.66,
