,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.16,0.64,0.37,0.85,0.75,0.66,0.22,0.21,0.14,0.14,0.18,0.15,0.11,0.14,0.32,0.12
d_1,0.82,0.16,0.61,0.7,0.75,0.59,0.17,0.11,0.12,0.38,0.12,0.1,0.1,0.12,0.12,0.06
f_1,0.59,0.66,0.16,0.64,0.71,0.63,0.14,0.22,0.12,0.14,0.23,0.12,0.07,0.12,0.12,0.12
c_1,0.51,0.83,0.75,0.14,0.67,0.54,0.17,0.3,0.27,0.07,0.15,0.14,0.09,0.14,0.13,0.08
b_1,0.74,0.72,0.8,0.35,0.14,0.63,0.21,0.21,0.18,0.13,0.14,0.3,0.11,0.16,0.17,0.1
a_1,0.71,0.67,0.9,0.75,0.3,0.1,0.23,0.2,0.17,0.2,0.16,0.27,0.09,0.41,0.12,0.1
h_1,0.48,0.48,0.49,0.56,0.55,0.63,0.07,0.14,0.1,0.11,0.11,0.11,0.14,0.09,0.09,0.08
g_1,0.59,0.52,0.5,0.61,0.5,0.49,0.12,0.05,0.1,0.13,0.09,0.11,0.06,0.1,0.1,0.13
c_0,0.54,0.27,0.52,1.07,0.86,0.64,0.15,0.12,0.06,0.19,0.1,0.11,0.09,0.11,0.1,0.08
d_0,0.28,1.28,0.55,0.57,0.52,0.46,0.16,0.2,0.12,0.06,0.12,0.12,0.08,0.12,0.12,0.1
f_0,0.5,0.41,1.05,0.53,0.57,0.51,0.15,0.1,0.1,0.13,0.05,0.09,0.08,0.1,0.1,0.05
b_0,0.47,0.44,0.54,0.83,1.05,0.45,0.14,0.12,0.06,0.11,0.09,0.05,0.08,0.1,0.1,0.06
h_0,0.51,0.49,0.6,0.49,0.43,0.52,0.2,0.17,0.12,0.11,0.1,0.09,0.1,0.1,0.08,0.08
a_0,0.63,0.41,0.48,0.62,0.68,0.84,0.14,0.16,0.1,0.11,0.11,0.05,0.07,0.04,0.1,0.08
e_0,0.88,0.47,0.74,0.51,0.48,0.41,0.13,0.13,0.12,0.11,0.05,0.11,0.08,0.11,0.04,0.07
g_0,0.58,0.47,0.57,0.44,0.52,0.6,0.11,0.22,0.11,0.13,0.09,0.11,0.06,0.09,0.1,0.14
