,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.92,0.48,0.37,0.44,0.3,0.21,0.38,0.62,0.36,0.29,0.34,0.3,0.35,0.23,0.32,0.17
f_1,0.65,0.91,0.42,0.37,0.29,0.2,0.38,0.42,0.35,0.3,0.3,0.22,0.31,0.24,0.32,0.15
d_1,0.42,0.47,0.93,0.3,0.29,0.21,0.39,0.31,0.61,0.33,0.41,0.32,0.39,0.25,0.34,0.25
c_1,0.44,0.44,0.38,0.91,0.54,0.22,0.34,0.35,0.22,0.25,0.25,0.26,0.33,0.2,0.29,0.21
b_1,0.47,0.43,0.42,0.4,0.9,0.37,0.35,0.36,0.34,0.25,0.21,0.27,0.37,0.19,0.28,0.21
a_1,0.41,0.5,0.47,0.39,0.32,0.89,0.38,0.35,0.35,0.32,0.36,0.25,0.42,0.16,0.34,0.2
h_1,0.49,0.55,0.47,0.42,0.31,0.18,0.67,0.35,0.38,0.37,0.36,0.31,0.3,0.24,0.41,0.25
d_0,0.46,0.46,0.33,0.67,0.38,0.23,0.36,0.53,0.31,0.29,0.35,0.31,0.37,0.23,0.33,0.2
c_0,0.44,0.52,0.5,0.37,0.27,0.22,0.42,0.42,0.59,0.36,0.65,0.36,0.48,0.34,0.38,0.25
g_1,0.38,0.45,0.66,0.39,0.28,0.22,0.36,0.35,0.46,0.63,0.39,0.4,0.39,0.26,0.32,0.26
b_0,0.42,0.52,0.47,0.44,0.26,0.18,0.42,0.45,0.43,0.35,0.58,0.37,0.45,0.5,0.38,0.27
f_0,0.33,0.43,0.53,0.44,0.38,0.24,0.43,0.42,0.41,0.36,0.39,0.54,0.42,0.29,0.37,0.48
h_0,0.46,0.6,0.5,0.4,0.33,0.24,0.3,0.37,0.4,0.39,0.34,0.29,0.35,0.22,0.42,0.21
a_0,0.45,0.5,0.49,0.4,0.35,0.17,0.4,0.44,0.45,0.32,0.43,0.37,0.37,0.47,0.34,0.24
g_0,0.41,0.45,0.63,0.37,0.34,0.25,0.35,0.34,0.39,0.26,0.37,0.45,0.39,0.21,0.28,0.29
e_0,0.31,0.49,0.53,0.46,0.37,0.26,0.45,0.37,0.4,0.32,0.39,0.33,0.43,0.26,0.4,0.43
