,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.05,1.75,1.99,1.48,1.91,1.32,0.66,0.66,0.34,0.5,0.52,0.44,0.41,0.48,0.43,0.36
f_1,1.81,1.05,1.67,2.0,1.64,1.26,0.54,0.7,0.56,0.49,0.57,0.45,0.31,0.35,0.41,0.42
d_1,1.85,1.76,1.05,1.93,1.72,1.63,0.65,0.45,0.69,0.57,0.44,0.51,0.38,0.44,0.39,0.28
e_1,2.02,1.25,1.89,1.05,1.86,1.63,0.74,0.78,0.66,0.56,0.62,0.51,0.43,0.74,0.49,0.47
b_1,1.26,2.24,2.05,1.87,1.06,2.15,0.87,0.75,0.61,0.73,0.56,0.74,0.48,0.49,0.52,0.44
a_1,2.99,3.31,2.82,2.8,1.5,1.06,0.99,1.23,0.89,0.93,0.75,1.01,0.64,0.83,0.97,0.7
h_1,4.79,5.03,4.53,5.06,4.48,3.95,1.27,1.64,1.5,1.28,1.28,1.27,1.12,1.01,1.05,1.13
g_1,5.41,5.45,5.7,4.92,5.54,4.02,1.68,1.28,1.7,1.45,1.75,1.46,0.95,1.37,1.3,1.37
d_0,6.94,5.65,7.55,3.59,6.07,4.65,2.36,2.12,1.42,1.47,1.97,1.48,1.26,1.65,1.61,1.35
c_0,10.97,6.37,3.94,6.37,5.69,4.86,2.36,2.25,2.66,1.4,1.74,2.03,1.41,1.75,1.76,1.26
f_0,6.78,9.6,6.62,6.17,6.47,5.14,2.58,1.69,2.05,1.97,1.45,2.1,1.46,2.07,2.14,1.09
b_0,9.98,7.09,5.3,6.79,7.69,5.41,2.58,2.49,2.26,1.23,1.77,1.46,1.56,1.95,2.07,1.36
h_0,8.01,9.77,8.12,7.96,7.63,6.53,3.74,3.53,2.72,2.36,2.43,2.13,2.12,1.98,2.21,1.83
e_0,8.56,13.42,7.96,9.92,8.46,6.14,3.36,2.57,2.73,2.24,1.52,2.26,2.03,1.51,2.34,1.64
a_0,9.6,8.7,9.0,8.56,9.49,8.03,3.26,3.49,2.59,2.19,2.19,1.56,1.79,2.14,1.55,1.86
g_0,9.8,9.75,9.52,8.23,8.89,7.63,2.83,3.54,2.78,2.64,2.83,2.47,1.66,2.42,2.34,2.12
