,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.65,1.19,0.93,1.2,0.97,0.94,0.38,0.47,0.36,0.42,0.35,0.41,0.34,0.24,0.3,0.34
e_1,0.76,0.65,1.08,1.15,1.27,1.0,0.53,0.55,0.43,0.47,0.41,0.46,0.43,0.34,0.59,0.36
d_1,1.15,1.32,0.64,1.05,1.0,0.95,0.42,0.37,0.42,0.54,0.39,0.37,0.35,0.29,0.33,0.2
c_1,1.12,0.97,1.24,0.64,1.28,0.91,0.51,0.43,0.46,0.27,0.37,0.36,0.38,0.33,0.33,0.34
b_1,1.31,1.07,1.27,0.73,0.63,1.3,0.55,0.58,0.59,0.41,0.6,0.38,0.36,0.44,0.48,0.35
a_1,1.37,1.34,1.34,1.44,0.83,0.57,0.72,0.64,0.52,0.58,0.63,0.51,0.66,0.38,0.49,0.41
h_1,2.03,1.63,1.74,1.94,1.75,1.44,0.55,0.95,0.61,0.6,0.65,0.59,0.52,0.62,0.58,0.51
g_1,2.07,1.9,1.89,2.27,1.76,1.65,0.67,0.52,0.63,0.64,0.64,0.65,0.58,0.4,0.64,0.54
c_0,2.26,2.03,1.3,2.79,1.65,1.52,0.84,0.97,0.56,0.96,0.86,0.64,0.68,0.58,0.78,0.53
d_0,1.86,1.27,2.43,2.3,1.98,1.8,0.92,1.11,0.67,0.58,0.75,0.68,0.68,0.62,0.64,0.69
b_0,2.08,1.87,1.75,2.85,2.16,1.72,0.87,0.89,0.48,0.76,0.55,0.73,0.8,0.59,0.73,0.51
f_0,2.7,1.98,1.94,2.56,2.01,1.83,1.03,0.7,0.79,0.87,0.67,0.56,0.71,0.7,0.87,0.48
a_0,2.49,2.2,2.09,2.44,2.71,2.18,1.13,0.98,0.7,0.85,0.51,0.8,0.55,0.77,0.76,0.66
h_0,2.62,2.27,2.2,2.42,1.88,1.86,1.11,1.08,0.84,0.87,0.77,0.69,0.66,0.8,0.76,0.72
e_0,3.59,2.45,2.24,2.59,2.12,1.84,1.12,0.94,0.83,1.06,0.83,0.48,0.74,0.6,0.52,0.58
g_0,2.41,2.28,2.68,2.39,2.32,1.93,0.87,1.29,0.88,0.86,0.86,1.0,0.85,0.57,0.78,0.82
