,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,15.18,0.6,0.48,0.71,0.54,0.64,0.94,0.82,1.87,0.64,1.01,0.88,0.88,1.06,0.65,0.95
f_1,1.22,16.06,0.45,0.56,0.42,0.51,0.8,0.69,0.89,0.85,0.39,0.97,0.89,0.73,0.69,0.92
d_1,0.46,0.63,19.48,0.44,0.46,0.5,0.97,0.97,0.32,2.42,0.89,1.47,1.1,1.17,1.0,1.1
c_1,0.49,0.55,0.45,17.53,1.47,0.47,0.83,0.85,0.78,0.32,0.93,0.56,0.89,0.94,1.01,0.78
b_1,0.46,0.52,0.57,0.5,21.07,1.46,0.76,1.0,0.93,0.72,1.01,0.32,0.96,0.73,0.86,0.78
a_1,0.52,0.47,0.7,0.78,0.57,28.42,0.95,0.76,1.05,0.99,1.02,0.85,0.97,0.37,0.88,1.02
h_1,0.6,1.14,0.79,0.7,0.58,0.57,5.4,1.99,1.14,1.02,1.29,1.14,0.7,1.19,1.29,1.64
g_1,0.62,0.58,1.62,0.59,0.65,0.59,1.12,6.04,0.92,1.2,2.05,0.95,1.02,1.16,1.47,1.0
d_0,0.76,0.83,0.33,2.14,0.84,0.59,1.07,0.73,2.61,0.69,1.0,1.11,1.39,1.21,1.15,1.08
c_0,0.84,0.83,1.07,0.44,0.34,0.81,1.22,1.01,1.25,3.5,1.5,3.35,1.39,1.15,1.23,1.42
f_0,0.51,0.42,1.06,0.79,0.79,0.78,1.19,1.33,1.33,1.07,4.19,1.58,1.33,1.18,3.81,1.43
b_0,0.79,0.95,0.79,0.78,0.35,0.57,1.06,1.29,1.3,1.21,1.33,3.85,1.5,3.16,1.02,1.34
h_0,0.66,1.33,1.07,0.68,0.7,0.57,0.49,1.63,0.76,1.23,1.0,1.03,0.82,1.05,1.05,1.7
a_0,0.73,0.75,0.88,0.81,0.81,0.48,1.48,1.02,1.08,1.27,1.29,1.33,1.56,4.09,1.14,1.02
e_0,0.38,0.94,0.98,0.78,0.76,0.53,1.54,1.26,1.32,1.63,1.22,1.73,1.48,1.06,4.77,1.35
g_0,0.59,0.56,2.1,0.65,0.55,0.6,1.16,0.78,0.89,1.08,2.36,1.3,1.43,1.47,1.6,0.73
