,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,97.56,79.82,80.19,167.73,176.87,459.18,10818.82,17967.77,29238.04,48901.74,50693.9,52288.87,110466.75,151730.1,132686.16,264087.65
f_1,87.43,116.83,73.94,134.0,148.31,425.64,9124.67,13774.41,24619.09,33316.15,34477.55,44492.86,95135.21,118365.05,107024.13,218737.92
d_1,60.84,81.05,120.76,105.03,156.8,473.22,10416.87,14514.51,39126.6,24939.77,47766.6,55230.44,98627.61,126350.86,151489.21,241960.87
c_1,45.07,62.52,72.88,172.52,213.77,392.86,8750.69,12719.09,15938.82,21642.27,38652.15,29152.53,81762.62,111337.48,124858.49,191209.5
b_1,46.2,63.81,63.58,88.54,213.2,570.52,7643.85,12216.71,21196.4,21587.25,38226.54,28824.41,62959.92,108057.59,103604.14,187847.98
a_1,37.74,45.87,46.23,70.12,73.56,492.32,6177.15,9517.56,15377.72,19925.81,26939.29,30002.51,50053.98,88657.63,92926.65,147933.14
h_1,15.15,24.06,19.98,32.44,41.26,109.86,3259.09,4716.7,6214.64,7343.12,10828.34,12346.47,23889.35,31082.35,34774.37,70676.24
g_1,12.9,17.33,22.55,28.11,37.11,88.5,1934.95,4578.02,5815.51,5989.2,12693.61,9127.84,20173.5,29268.03,31410.52,49719.43
c_0,12.05,16.41,14.98,24.3,27.87,85.31,2021.76,3026.43,6281.57,6327.26,9188.69,14344.64,22841.24,27753.1,31213.85,51488.72
d_0,9.75,14.8,13.21,34.71,33.03,70.31,1793.73,2834.95,4000.63,6782.63,7727.58,7810.82,18494.13,26455.23,27958.6,43100.94
f_0,8.73,12.31,13.47,22.24,24.53,71.09,1603.36,2193.97,4528.08,5634.54,9757.64,7894.8,17470.77,21167.43,37815.55,40826.58
b_0,9.82,14.58,12.7,23.92,23.89,57.49,1588.54,2550.85,3787.84,5393.13,7736.44,9625.9,25556.14,23232.02,22245.8,44391.54
a_0,7.71,10.62,10.34,16.22,21.26,48.46,1382.82,2079.1,3207.09,3765.38,6084.78,4997.75,17566.43,17546.98,14818.37,31572.91
h_0,7.59,12.03,10.27,14.68,18.13,51.2,1017.43,2081.53,3081.15,3418.04,5296.41,5002.26,11586.12,14864.58,14741.21,34849.24
e_0,6.69,10.55,8.97,13.67,19.87,42.94,1196.86,1642.95,3036.59,3450.24,4907.53,5772.56,12827.25,15217.87,22021.74,27337.8
g_0,5.95,7.27,10.31,12.84,15.16,39.07,891.19,1312.2,2601.39,2788.3,6051.22,4652.1,10349.7,11982.62,15479.59,22440.42
