,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.27,0.96,0.85,0.66,0.45,0.46,0.45,0.38,0.38,0.35,0.29,0.35,0.32,0.26
d_1,1.16,1.0,1.07,0.87,0.92,0.62,0.49,0.38,0.42,0.53,0.39,0.42,0.35,0.27,0.31,0.29
e_1,0.8,0.91,1.0,1.12,0.93,0.81,0.54,0.48,0.61,0.43,0.46,0.45,0.39,0.34,0.35,0.4
c_1,1.03,1.19,0.88,1.0,1.29,0.63,0.48,0.43,0.32,0.35,0.41,0.32,0.38,0.34,0.32,0.31
b_1,1.18,1.09,1.05,0.79,1.0,1.27,0.6,0.51,0.45,0.47,0.43,0.43,0.37,0.39,0.29,0.35
a_1,1.51,1.58,1.23,1.55,0.81,1.0,0.69,0.65,0.65,0.54,0.58,0.6,0.51,0.46,0.42,0.45
h_1,2.34,2.01,1.83,2.08,1.68,1.39,1.0,1.03,0.84,0.76,0.74,0.78,0.72,0.74,0.56,0.64
g_1,2.18,2.68,2.09,2.31,1.97,1.53,0.94,1.0,0.88,0.92,1.01,0.97,0.69,0.65,0.64,0.72
d_0,2.23,2.43,1.69,3.06,2.27,1.57,1.17,1.16,1.0,0.76,0.88,0.84,0.8,0.79,0.77,0.75
c_0,2.7,1.92,2.29,2.73,2.09,1.8,1.32,1.13,1.34,1.0,1.01,1.29,0.88,0.81,0.89,0.86
f_0,2.51,2.56,2.21,2.54,2.22,1.75,1.29,1.02,1.18,0.99,1.0,0.98,0.89,0.64,0.79,1.1
b_0,2.93,2.51,2.25,2.94,2.35,1.65,1.29,1.08,1.12,0.75,1.02,1.0,1.0,0.83,1.19,0.81
h_0,3.45,2.8,2.63,2.65,2.69,1.95,1.47,1.43,1.22,1.08,1.11,1.03,1.0,1.11,0.86,0.81
g_0,2.75,3.66,2.92,3.02,2.49,2.1,1.37,1.5,1.2,1.27,1.51,1.18,0.89,1.0,0.99,0.95
a_0,2.98,3.41,2.94,3.24,3.19,2.37,1.71,1.54,1.3,1.11,1.31,0.85,1.19,1.05,1.0,0.9
e_0,3.9,3.3,2.35,3.29,2.89,2.23,1.63,1.39,1.35,1.14,0.97,1.28,1.24,1.07,1.15,1.0
