,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,0.99,0.85,1.0,0.75,0.45,0.53,0.38,0.35,0.38,0.4,0.36,0.35,0.31,0.34
f_1,1.33,1.0,0.99,0.83,0.78,0.63,0.36,0.41,0.33,0.32,0.34,0.26,0.28,0.36,0.26,0.31
c_1,1.01,1.01,1.0,1.36,1.2,0.73,0.49,0.29,0.33,0.3,0.37,0.34,0.3,0.29,0.4,0.31
d_1,1.18,1.2,0.73,1.0,0.9,0.83,0.51,0.56,0.54,0.51,0.37,0.41,0.36,0.35,0.34,0.28
b_1,1.0,1.28,0.83,1.11,1.0,1.24,0.62,0.63,0.45,0.49,0.39,0.48,0.45,0.36,0.33,0.3
a_1,1.33,1.58,1.37,1.21,0.8,1.0,0.69,0.8,0.78,0.65,0.54,0.46,0.52,0.46,0.48,0.4
h_1,2.14,2.78,2.06,1.98,1.64,1.41,1.0,0.77,0.75,0.7,0.84,0.74,0.49,0.54,0.68,0.69
d_0,1.84,2.54,3.38,1.82,1.64,1.27,1.23,1.0,0.87,0.86,0.96,0.66,0.82,0.67,0.9,0.78
c_0,2.62,3.11,3.2,1.8,2.14,1.38,1.33,1.09,1.0,1.09,0.84,0.91,0.8,0.75,0.7,0.6
b_0,2.78,3.28,3.26,1.8,2.12,1.53,1.39,1.13,0.97,1.0,0.96,0.82,0.87,1.12,0.74,0.93
g_1,2.6,2.96,2.92,2.62,2.45,1.79,1.2,1.05,1.14,1.03,1.0,1.0,0.75,0.77,0.72,0.98
f_0,2.45,4.02,3.06,2.53,2.14,2.02,1.36,1.52,1.13,1.18,1.06,1.0,1.02,0.84,1.16,0.71
h_0,2.69,3.78,3.42,2.73,2.18,1.89,1.97,1.2,1.27,1.15,1.37,0.94,1.0,1.0,0.83,1.0
a_0,2.8,2.78,3.63,2.92,2.59,1.98,1.99,1.54,1.16,0.89,1.3,1.29,0.96,1.0,1.0,0.98
e_0,3.21,4.09,2.63,3.19,2.76,1.96,1.47,1.22,1.38,1.49,1.52,0.86,1.27,1.03,1.0,1.05
g_0,2.72,3.36,3.26,3.65,3.21,2.29,1.44,1.35,1.55,1.09,,1.4,0.99,0.98,1.04,1.0
