,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.35,1.18,1.54,1.05,1.29,1.15,2.52,4.01,2.43,2.95,2.33,2.98,3.53,2.84,2.02,3.73
f_1,1.8,2.35,1.23,1.2,1.18,0.97,1.92,2.55,2.32,2.23,2.1,1.62,2.8,2.95,2.13,3.11
c_1,1.06,1.2,2.53,1.41,1.96,1.2,2.51,2.16,1.38,1.79,2.09,2.21,2.91,2.15,3.1,3.18
d_1,1.35,1.28,0.88,2.63,1.14,1.26,2.52,1.83,4.29,3.51,2.57,2.96,3.52,2.82,2.85,3.26
b_1,1.06,1.29,1.11,1.32,2.77,2.23,2.28,2.86,2.58,2.02,2.01,2.85,3.32,2.5,2.62,2.86
a_1,1.13,1.46,1.32,1.24,0.95,3.31,2.55,2.84,3.34,3.21,2.43,2.77,4.25,2.04,3.18,3.42
h_1,1.25,1.84,1.39,1.29,1.29,1.26,4.12,2.34,3.05,2.99,3.09,3.26,2.54,2.67,3.21,4.27
d_0,1.21,1.24,2.33,0.95,1.35,1.24,2.81,3.92,2.3,3.01,2.79,3.01,3.6,2.92,3.25,4.08
c_0,1.58,1.47,1.13,1.28,1.18,1.21,2.63,3.08,4.24,4.68,2.89,3.24,3.89,3.43,3.15,3.42
b_0,1.5,1.6,1.57,1.19,0.82,0.97,2.76,3.06,2.96,4.64,2.85,2.95,3.76,5.66,3.05,4.07
g_1,1.32,1.36,1.35,1.73,1.32,1.26,2.86,2.22,2.95,3.18,5.12,4.05,3.15,3.04,2.94,3.07
f_0,1.04,1.27,1.64,1.54,1.21,1.37,2.85,3.0,2.99,3.22,3.12,4.95,4.29,2.99,6.0,3.66
h_0,1.23,1.73,1.42,1.42,1.2,1.2,2.24,2.61,2.92,3.09,4.05,2.86,3.22,2.9,3.06,4.46
a_0,1.48,1.38,1.59,1.4,1.2,0.91,3.08,3.27,2.73,2.49,3.45,3.19,3.68,4.97,3.21,3.97
e_0,0.95,1.64,1.3,1.76,1.4,1.23,2.48,2.58,2.95,2.97,3.44,2.57,4.3,3.19,5.16,3.71
g_0,1.05,1.21,1.49,2.0,1.4,1.17,2.65,2.35,3.1,2.65,2.09,4.47,3.52,2.76,3.39,3.37
