,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,11.48,14.4,10.4,13.09,15.39,2.79,4.82,2.71,2.49,2.8,,1.29,2.37,2.66,1.59
e_1,8.43,0.17,16.9,15.16,15.56,9.48,3.98,6.57,1.94,2.36,2.22,3.84,1.45,2.5,,1.69
c_1,11.45,13.61,0.16,15.1,11.54,18.97,4.1,3.41,1.58,,2.71,1.79,1.53,2.44,2.98,2.04
d_1,11.6,16.73,10.79,0.16,14.94,10.11,2.95,2.4,,2.58,3.25,2.53,2.11,2.64,2.79,1.1
b_1,13.09,11.35,8.35,10.79,0.14,17.51,2.92,3.15,3.04,3.51,,3.07,2.22,1.78,2.29,2.0
a_1,15.39,16.73,11.06,13.14,7.34,0.09,4.6,4.45,3.43,2.17,2.85,2.19,2.04,,2.26,1.58
h_1,3.36,3.03,3.22,3.68,3.19,2.88,0.07,0.92,0.68,0.59,0.82,0.62,,0.63,0.66,0.44
g_1,4.4,3.94,3.41,3.79,3.28,3.56,0.8,0.06,0.74,0.64,0.59,0.53,0.32,,0.78,
d_0,2.79,1.53,2.61,,2.53,2.45,0.66,0.77,0.08,0.62,0.59,0.38,0.32,0.68,0.43,0.33
c_0,2.63,2.56,,1.55,2.23,2.38,0.62,0.86,0.52,0.08,0.51,0.42,0.42,0.59,0.41,0.42
b_0,2.63,2.22,2.25,2.05,,2.69,0.79,0.63,0.69,0.28,0.07,1.03,0.34,0.4,0.51,0.6
f_0,,3.2,2.39,2.84,2.56,2.6,0.89,0.32,0.36,0.64,0.51,0.06,0.41,,0.47,0.33
h_0,1.31,2.2,1.57,1.48,2.32,2.04,,0.6,0.28,0.28,0.3,0.33,,0.37,0.31,0.2
a_0,2.47,2.73,4.0,2.64,2.09,,0.73,,0.78,0.55,0.28,,0.35,0.05,,0.4
e_0,3.49,,2.3,2.28,2.72,2.26,0.66,0.6,0.7,0.53,0.44,0.31,0.44,,0.05,0.3
g_0,2.0,1.75,1.75,2.85,1.56,2.19,0.28,,0.29,0.37,0.32,0.4,0.16,0.55,0.39,
