,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.88,0.09,0.08,0.07,0.08,0.04,0.07,0.06,0.16,0.02,0.09,0.07,0.08,0.07,0.04,0.03
e_1,0.06,0.87,0.08,0.1,0.07,0.06,0.07,0.06,0.08,0.15,0.08,0.07,0.08,0.06,0.04,0.01
f_1,0.09,0.17,0.87,0.09,0.05,0.04,0.09,0.04,0.07,0.08,0.07,0.02,0.08,0.05,0.04,0.04
c_1,0.07,0.09,0.09,0.88,0.12,0.05,0.09,0.06,0.02,0.08,0.04,0.05,0.09,0.07,0.05,0.06
b_1,0.1,0.09,0.1,0.08,0.87,0.09,0.06,0.06,0.06,0.08,0.02,0.06,0.08,0.07,0.03,0.04
a_1,0.11,0.1,0.08,0.09,0.07,0.87,0.06,0.05,0.08,0.07,0.08,0.07,0.08,0.05,,0.04
h_1,0.17,0.1,0.2,0.11,0.15,0.06,0.53,0.17,0.17,0.13,0.11,0.12,0.04,0.15,0.08,0.08
g_1,0.28,0.1,0.13,0.12,0.14,0.08,0.12,0.53,0.1,0.1,0.13,0.14,0.09,0.03,0.08,0.08
c_0,0.19,0.16,0.18,0.05,0.09,0.07,0.16,0.13,0.38,0.14,0.28,0.11,0.16,0.14,0.12,0.09
d_0,0.07,0.12,0.2,0.28,0.09,0.07,0.16,0.11,0.12,0.36,0.11,0.13,0.13,0.11,0.09,0.08
b_0,0.19,0.12,0.18,0.19,0.04,0.06,0.14,0.12,0.16,0.18,0.39,0.1,0.15,0.11,0.18,0.07
f_0,0.21,0.16,0.07,0.15,0.14,0.07,0.13,0.1,0.15,0.13,0.15,0.37,0.15,0.13,0.1,0.14
h_0,0.18,0.14,0.21,0.15,0.11,0.06,0.05,0.18,0.13,0.12,0.13,0.1,0.05,0.15,0.06,0.1
g_0,0.23,0.14,0.15,0.11,0.1,0.1,0.13,0.06,0.14,0.12,0.12,0.18,0.11,0.05,0.07,0.09
a_0,0.19,0.14,0.16,0.17,0.14,,0.14,0.11,0.12,0.13,0.12,0.13,0.17,0.1,0.37,0.09
e_0,0.23,0.04,0.15,0.14,0.15,0.08,0.15,0.12,0.16,0.14,0.14,0.12,0.16,0.1,0.1,0.37
