,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.43,2.54,1.17,2.2,1.98,1.78,0.59,0.51,0.41,0.86,0.48,0.43,0.27,0.36,1.06,0.5
d_1,2.7,0.42,2.32,2.46,1.9,1.94,0.57,1.47,0.35,0.33,0.4,0.32,0.28,0.17,0.38,0.35
f_1,1.8,2.14,0.42,2.07,1.8,1.87,0.47,0.37,0.42,0.67,0.39,1.12,0.22,0.45,0.46,0.45
c_1,1.64,2.66,1.86,0.42,2.53,2.04,0.55,0.23,0.87,0.52,0.43,0.46,0.32,0.28,0.4,0.35
b_1,2.23,2.34,3.17,1.1,0.39,3.59,0.66,0.51,0.56,0.7,1.01,0.38,0.4,0.35,0.46,0.41
a_1,3.8,2.78,2.26,3.54,1.4,0.33,0.87,0.62,0.54,1.18,0.83,0.6,0.46,0.42,0.47,1.21
h_1,3.36,3.59,3.82,3.04,3.75,2.65,0.34,0.73,0.78,0.94,0.58,0.57,0.88,0.42,0.63,0.61
d_0,1.75,7.69,4.16,4.36,4.19,3.41,1.09,0.38,0.8,1.18,0.86,0.71,0.54,0.59,0.9,0.63
c_0,3.76,1.86,4.23,8.05,4.25,3.4,1.18,1.14,0.39,1.1,0.76,0.72,0.54,0.56,0.77,0.65
g_1,3.75,3.47,4.26,3.91,3.78,3.46,0.85,0.88,0.94,0.3,0.96,0.84,0.44,0.79,0.75,0.67
b_0,4.01,3.03,4.66,5.09,8.43,3.37,1.05,0.76,0.42,1.0,0.35,0.66,0.58,0.6,0.66,0.62
f_0,3.82,3.44,10.41,4.42,4.73,3.51,1.17,0.99,0.79,0.7,0.78,0.36,0.61,0.37,0.62,0.68
h_0,4.13,4.11,3.79,4.88,4.57,4.82,2.1,0.99,0.92,1.68,0.87,0.85,1.17,0.64,0.64,0.74
g_0,3.83,5.05,6.26,5.59,4.92,4.79,1.11,1.25,1.01,1.96,0.95,0.79,0.56,1.4,0.85,0.83
e_0,9.39,3.2,6.53,4.97,6.97,5.2,1.29,1.3,0.94,1.08,1.1,0.58,0.78,0.73,0.31,0.75
a_0,4.87,4.46,6.08,6.0,6.08,9.55,1.42,1.0,1.0,1.57,0.56,1.11,0.88,0.87,1.21,0.34
