,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.66,0.7,0.88,1.08,0.92,0.86,0.42,0.44,0.42,0.32,0.31,0.37,0.28,0.37,0.31,0.29
f_1,1.05,0.65,0.89,0.93,0.92,0.77,0.33,0.37,0.44,0.32,0.32,0.31,0.22,0.25,0.28,0.28
d_1,1.06,1.12,0.63,0.94,0.95,0.79,0.41,0.44,0.3,0.39,0.35,0.32,0.28,0.34,0.3,0.2
c_1,0.82,1.02,1.15,0.63,1.09,0.88,0.45,0.25,0.47,0.42,0.34,0.38,0.29,0.33,0.31,0.27
b_1,1.1,1.04,1.14,0.68,0.62,1.14,0.45,0.38,0.48,0.46,0.55,0.39,0.34,0.36,0.38,0.28
a_1,1.25,1.37,1.49,1.17,0.74,0.56,0.63,0.45,0.53,0.53,0.53,0.46,0.39,0.47,0.72,0.39
h_1,1.59,1.81,1.55,1.61,1.55,1.28,0.54,0.64,0.79,0.54,0.56,0.48,0.52,0.48,0.48,0.45
d_0,1.26,1.71,1.97,2.27,1.71,1.62,0.79,0.55,0.77,0.6,0.6,0.59,0.49,0.57,0.5,0.58
g_1,1.68,1.89,1.81,1.76,1.58,1.51,0.59,0.66,0.52,0.63,0.62,0.64,0.44,0.59,0.51,0.52
c_0,2.04,1.97,1.25,2.21,1.64,1.35,0.82,0.87,0.69,0.55,0.71,0.63,0.5,0.65,0.6,0.45
b_0,1.93,1.82,1.6,2.42,2.0,1.41,0.86,0.75,0.8,0.46,0.53,0.65,0.55,0.63,0.68,0.54
f_0,1.78,2.49,1.82,2.06,1.78,1.62,0.92,0.67,0.61,0.69,0.69,0.53,0.55,0.71,0.58,0.4
h_0,2.0,2.22,1.98,2.05,1.75,1.74,1.01,0.79,0.85,0.76,0.74,0.73,0.67,0.71,0.65,0.65
e_0,2.34,2.9,1.81,2.63,2.25,1.66,0.96,0.78,0.82,0.78,0.71,0.5,0.64,0.49,0.69,0.57
a_0,2.39,2.19,1.9,2.53,2.53,2.1,1.13,0.88,0.89,0.65,0.48,0.95,0.58,0.78,0.5,0.6
g_0,2.25,2.34,2.44,2.45,2.22,1.73,0.91,0.82,0.97,0.91,0.89,0.83,0.55,0.76,0.71,0.7
