,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,0.82,0.87,0.81,0.89,0.5,0.36,,0.57,0.37,0.35,0.37,0.39,0.26,0.29
f_1,0.92,1.0,1.33,1.14,0.82,0.68,0.42,0.44,0.41,0.46,0.4,,0.3,0.32,0.35,0.25
e_1,1.22,0.75,1.0,0.88,0.81,0.77,0.47,0.46,0.58,0.52,0.46,0.42,0.31,0.28,0.25,
c_1,1.15,0.88,1.13,1.0,1.27,0.76,0.55,0.51,0.39,,0.35,0.5,0.43,0.31,0.37,0.45
b_1,1.24,1.22,1.23,0.79,1.0,,0.51,0.45,0.48,0.44,,0.44,0.36,,0.36,0.38
a_1,1.13,1.47,1.3,1.32,,1.0,0.85,,0.67,0.56,0.56,0.53,0.46,,0.44,
h_1,2.01,2.38,2.14,1.81,1.97,1.17,1.0,1.24,0.81,0.86,0.7,0.69,,0.72,0.85,0.52
g_1,2.81,2.27,2.19,1.94,2.22,,0.8,1.0,1.07,1.1,0.86,0.93,0.73,,,
d_0,,2.41,1.71,2.55,2.1,1.5,1.23,0.94,1.0,0.84,0.97,0.87,0.85,0.66,0.82,0.86
c_0,1.74,2.18,1.93,,2.26,1.79,1.17,0.91,1.19,1.0,1.31,0.87,0.77,0.83,0.67,0.91
b_0,2.73,2.48,2.19,2.85,,1.78,1.42,1.16,1.03,0.76,1.0,0.69,0.98,0.92,0.83,0.56
f_0,2.82,,2.36,2.01,2.3,1.87,1.45,1.08,1.15,1.15,1.46,1.0,0.89,0.91,0.55,1.14
h_0,2.67,3.34,3.22,2.33,2.81,2.19,,1.36,1.18,1.29,1.02,1.13,,0.87,1.01,0.71
a_0,2.56,3.14,3.56,3.25,,,1.4,,1.52,1.2,1.09,1.1,1.15,1.0,1.12,
g_0,3.86,2.86,3.94,2.73,2.75,2.28,1.17,,1.22,1.49,1.21,1.83,0.99,0.89,,
e_0,3.49,4.02,,2.23,2.65,,1.93,,1.17,1.09,1.79,0.87,1.42,,,1.0
