,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,3.68,0.72,0.37,0.44,0.34,0.29,0.74,0.7,0.88,0.76,0.66,0.16,0.83,0.55,0.64,0.57
e_1,0.47,3.7,0.34,0.46,0.31,0.3,0.78,0.68,0.76,1.63,0.91,0.85,0.86,0.89,0.72,0.2
d_1,0.43,0.33,4.05,0.32,0.36,0.45,0.79,0.82,1.62,0.18,0.84,0.93,0.99,0.82,0.89,0.72
c_1,0.38,0.37,0.38,4.37,0.8,0.32,0.68,0.75,0.16,0.81,0.65,0.91,0.9,0.87,0.78,0.81
b_1,0.38,0.46,0.46,0.39,5.38,0.78,0.57,0.76,0.5,0.62,0.2,0.74,0.85,0.68,0.87,0.76
a_1,0.29,0.41,0.55,0.33,0.41,7.39,0.75,0.49,0.62,0.71,0.87,0.83,1.13,0.26,1.11,1.04
h_1,0.91,0.57,0.64,0.65,0.69,0.66,4.9,1.74,1.33,1.42,1.57,1.46,0.67,1.1,1.94,1.36
g_1,0.77,0.52,1.0,0.7,0.59,0.67,1.24,6.23,1.15,0.95,1.62,1.75,1.22,1.48,0.44,1.75
c_0,0.75,0.69,0.75,0.29,0.63,0.8,1.77,1.4,4.0,0.96,2.97,1.84,1.53,1.23,2.02,1.91
d_0,0.63,0.67,0.19,1.5,0.61,0.75,1.3,1.05,1.29,3.75,1.29,1.56,1.29,1.13,1.61,1.59
b_0,0.84,0.69,0.74,0.76,0.26,0.41,1.67,1.4,1.41,1.51,4.46,1.32,1.57,3.44,2.13,1.46
f_0,0.28,0.54,0.82,0.69,0.82,0.78,1.45,1.62,1.71,1.68,1.69,4.84,1.67,1.64,1.56,3.89
h_0,1.12,0.6,0.79,0.66,0.55,0.62,0.53,1.35,1.42,1.35,1.56,1.48,0.46,1.64,2.38,1.64
a_0,0.9,0.51,0.76,0.75,0.69,,1.68,1.35,1.38,1.64,1.13,1.73,1.72,6.17,1.93,2.37
g_0,0.55,0.53,1.21,0.76,0.47,0.87,1.15,0.6,1.46,1.26,1.58,2.2,1.44,1.56,0.67,1.36
e_0,0.79,0.31,0.59,0.75,0.91,0.8,1.26,1.33,1.52,1.56,1.69,1.77,1.98,1.96,1.84,7.16
