,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.94,0.46,0.29,0.26,0.2,0.17,0.18,0.16,0.17,0.17,0.08,0.18,0.13,0.11,0.1,0.12
e_1,0.27,0.94,0.28,0.27,0.26,0.15,0.17,0.19,0.31,0.19,0.18,0.17,0.17,0.13,0.08,0.12
d_1,0.33,0.29,0.94,0.26,0.21,0.16,0.2,0.17,0.11,0.28,0.19,0.15,0.17,0.12,0.14,0.11
c_1,0.31,0.31,0.3,0.94,0.42,0.16,0.18,0.19,0.15,0.04,0.2,0.13,0.15,0.13,0.13,0.12
b_1,0.35,0.33,0.34,0.24,0.93,0.33,0.24,0.18,0.24,0.15,0.15,0.08,0.18,0.09,0.13,0.11
a_1,0.43,0.34,0.39,0.32,0.24,0.93,0.26,0.18,0.15,0.22,0.19,0.2,0.23,0.08,0.16,0.15
h_1,0.75,0.52,0.58,0.53,0.39,0.37,0.72,0.39,0.36,0.26,0.28,0.28,0.18,0.24,0.24,0.28
g_1,0.63,0.53,0.7,0.48,0.42,0.41,0.34,0.72,0.3,0.32,0.39,0.29,0.26,0.3,0.26,0.13
d_0,0.59,0.52,0.27,0.97,0.45,0.45,0.4,0.38,0.61,0.31,0.36,0.3,0.26,0.29,0.2,0.29
c_0,0.72,0.6,0.62,0.45,0.51,0.26,0.47,0.36,0.33,0.61,0.32,0.62,0.32,0.37,0.29,0.3
f_0,0.41,0.57,0.77,0.65,0.54,0.34,0.49,0.34,0.38,0.45,0.62,0.3,0.4,0.22,0.46,0.35
b_0,0.64,0.54,0.74,0.74,0.27,0.33,0.4,0.36,0.41,0.3,0.4,0.62,0.37,0.53,0.28,0.32
h_0,0.98,0.63,0.67,0.65,0.45,0.39,0.28,0.53,0.45,0.38,0.3,0.38,0.23,0.27,0.25,0.4
a_0,0.75,0.63,0.82,0.67,0.73,,0.39,0.31,0.38,0.33,0.41,0.28,0.37,0.6,0.36,0.39
e_0,0.84,0.4,0.63,0.67,0.58,0.5,0.52,0.38,0.57,0.43,0.35,0.41,0.46,0.28,0.59,0.23
g_0,0.6,0.72,1.05,0.67,0.6,0.43,0.47,0.35,0.33,0.43,0.45,0.43,0.28,0.27,0.37,
