,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.83,1.06,1.27,0.87,1.03,1.38,1.05,1.09,1.0,1.18,1.23,1.2,1.31,1.08
f_1,1.31,1.0,0.9,1.17,0.8,0.85,0.91,0.89,0.97,0.98,1.06,0.98,0.82,0.95,0.94,1.33
d_1,1.21,1.11,1.0,0.77,1.1,1.05,0.96,0.81,1.23,0.77,0.9,1.01,1.02,1.04,0.84,0.78
c_1,0.95,0.86,1.3,1.0,1.38,0.94,0.93,0.68,0.72,0.97,1.03,0.91,1.08,0.82,1.11,0.95
b_1,0.79,1.25,0.91,0.73,1.0,1.58,1.02,1.1,1.05,1.3,1.49,1.02,1.0,1.29,0.99,0.85
a_1,1.15,1.18,0.95,1.07,0.63,1.0,1.37,1.14,0.8,0.81,0.92,0.86,1.0,1.44,1.15,1.3
h_1,0.95,1.09,1.11,1.06,1.0,0.75,1.0,0.96,0.95,1.16,0.99,0.91,0.96,0.86,0.85,1.17
d_0,0.71,1.13,1.18,1.51,0.9,0.86,1.02,1.0,0.97,1.06,0.9,1.05,0.97,0.89,0.91,1.0
c_0,0.97,1.06,0.79,1.49,0.91,1.21,1.06,0.95,1.0,1.07,1.35,1.01,0.97,0.97,0.97,1.06
g_1,0.88,0.97,1.32,1.04,0.76,1.26,0.85,0.97,0.88,1.0,0.94,1.08,0.81,0.76,1.04,0.84
b_0,1.0,0.96,1.13,0.99,0.67,1.05,1.01,1.07,0.77,1.08,1.0,0.93,1.03,1.38,0.98,1.04
f_0,0.86,1.14,1.02,1.15,0.93,1.1,1.05,0.96,1.07,0.97,1.01,1.0,0.99,0.88,1.24,0.79
h_0,0.8,1.22,0.95,0.99,0.96,1.01,1.12,1.05,0.98,1.26,0.94,1.02,1.0,0.87,0.94,1.13
a_0,0.87,1.1,0.99,1.21,0.84,,1.17,0.99,1.0,1.3,0.67,1.12,1.12,1.0,0.98,1.02
e_0,,1.21,1.17,0.89,0.93,0.9,1.08,1.03,1.0,0.95,1.1,0.76,1.04,1.05,1.0,1.03
g_0,0.98,0.78,1.3,1.07,1.07,0.8,0.86,0.98,0.96,1.15,0.99,1.25,0.87,0.91,0.96,1.0
