,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.36,1.06,0.95,1.38,0.99,1.22,2.14,4.43,2.32,2.38,3.06,2.7,2.96,3.68,3.23,2.3
f_1,1.68,2.37,1.02,1.12,1.11,0.95,2.16,2.16,2.24,2.61,2.04,1.26,2.26,2.65,2.72,1.62
d_1,1.21,1.3,2.52,0.88,1.06,1.1,2.18,1.6,1.86,3.96,2.64,2.54,2.54,3.04,2.95,2.89
c_1,0.98,1.16,1.27,2.6,1.87,0.96,2.05,1.9,2.25,1.26,2.14,2.17,2.08,2.63,2.23,2.48
b_1,1.1,1.07,1.27,0.92,2.95,2.05,2.2,1.98,2.26,1.95,1.45,2.82,2.21,3.42,2.84,3.13
a_1,1.08,1.25,1.22,1.26,0.82,3.33,2.34,2.44,2.16,2.74,2.79,2.74,1.53,3.41,4.46,2.63
h_1,1.23,1.53,1.31,1.19,1.29,1.16,3.87,2.41,2.72,2.59,2.51,2.69,2.57,2.53,3.65,2.98
d_0,0.91,1.35,0.89,2.11,1.47,1.21,2.35,3.79,2.63,2.11,2.72,2.66,2.74,3.25,3.08,2.85
g_1,1.11,0.91,1.89,1.26,1.12,1.19,2.31,2.15,4.52,2.89,2.94,3.95,2.76,2.58,2.91,3.19
c_0,1.47,1.26,1.12,1.09,1.15,1.21,2.39,3.33,2.09,4.0,4.46,2.9,2.74,3.69,4.3,2.69
b_0,1.12,1.56,1.29,1.51,0.84,0.95,2.48,2.79,2.3,2.28,4.27,2.82,4.84,3.22,3.61,3.13
f_0,1.08,1.01,1.46,1.45,1.24,1.18,2.51,2.91,2.26,2.56,2.8,4.42,3.3,3.51,3.38,5.21
a_0,1.1,1.31,1.46,1.65,1.39,0.72,2.63,3.19,2.2,2.58,2.32,2.65,4.81,3.7,3.36,3.07
h_0,1.18,1.66,1.31,1.3,1.0,1.3,1.91,2.83,3.17,2.32,2.69,2.63,2.62,2.47,4.1,2.64
g_0,1.13,1.23,1.72,1.43,1.18,0.93,2.52,2.6,1.54,2.29,3.03,3.78,3.08,3.34,2.72,2.53
e_0,0.72,1.77,1.36,1.39,1.31,1.18,2.49,2.62,2.52,2.71,2.56,2.31,2.89,3.72,3.48,4.93
