,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.49,0.72,0.52,0.82,0.64,0.52,0.89,1.59,0.88,0.85,1.01,0.93,1.03,1.28,0.53,0.88
f_1,1.19,2.54,0.66,0.58,0.52,0.56,0.86,0.83,0.77,1.03,0.87,0.52,0.82,0.78,0.73,0.84
d_1,0.6,0.89,2.9,0.47,0.47,0.6,0.99,0.5,0.83,1.75,1.21,0.87,0.95,0.92,1.09,0.97
c_1,0.58,0.56,0.52,2.97,1.35,0.56,0.8,0.89,0.78,0.32,0.79,0.9,0.93,0.82,0.91,0.86
b_1,0.51,0.54,0.7,0.7,3.12,1.32,0.88,0.8,0.95,0.84,0.4,1.13,0.92,0.78,0.94,0.97
a_1,0.66,0.67,0.78,0.72,0.49,4.23,1.0,0.88,1.07,0.79,0.96,1.09,1.16,0.43,1.07,1.05
h_1,0.79,1.14,0.91,0.7,0.73,0.62,2.73,1.02,1.39,1.02,1.14,1.05,0.65,1.06,1.0,1.63
d_0,0.72,0.72,0.53,1.67,0.92,0.7,0.98,2.01,1.04,0.72,1.13,1.15,1.32,1.18,1.15,1.26
g_1,0.64,0.68,1.37,0.59,0.78,0.79,1.03,0.79,3.53,1.21,0.95,1.75,1.07,1.11,1.32,0.7
c_0,0.72,0.99,1.02,0.53,0.52,0.75,1.3,1.26,1.13,2.26,2.24,1.2,1.14,1.53,1.35,1.53
b_0,0.83,0.89,0.91,0.75,0.36,0.68,1.22,1.17,1.21,1.16,2.55,1.1,1.38,2.31,1.39,1.46
f_0,0.67,0.45,0.82,0.78,0.98,0.97,1.25,1.31,1.24,1.11,1.23,2.69,1.29,1.2,2.78,1.17
h_0,0.86,1.1,0.83,0.85,0.84,0.77,0.6,1.08,1.35,1.01,0.96,1.03,0.68,0.93,1.2,1.46
a_0,0.84,0.88,0.87,0.85,0.78,0.41,1.32,1.37,1.04,1.06,1.41,1.25,1.57,2.98,1.34,1.26
e_0,0.38,0.98,0.93,0.89,1.0,0.65,1.22,1.09,1.2,1.21,1.09,1.31,1.47,1.13,2.89,1.55
g_0,0.73,0.73,1.33,0.79,0.77,0.74,1.0,0.88,0.79,1.14,1.26,1.61,1.17,1.33,1.15,0.71
