,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,1.16,1.04,0.9,1.04,0.89,0.39,0.42,0.38,0.48,0.34,0.42,0.24,0.32,0.31,0.34
e_1,0.75,0.66,1.33,1.01,1.04,1.07,0.47,0.48,0.4,0.48,0.41,0.49,0.35,0.46,0.38,0.31
c_1,1.17,0.87,0.64,1.32,1.36,1.05,0.53,0.27,0.44,0.43,0.34,0.36,0.33,0.36,0.33,0.31
d_1,1.22,1.26,1.11,0.63,1.08,0.9,0.45,0.58,0.42,0.36,0.44,0.37,0.35,0.31,0.37,0.21
b_1,1.32,1.31,0.72,1.23,0.62,1.32,0.56,0.41,0.52,0.56,0.59,0.43,0.39,0.35,0.38,0.35
a_1,1.52,1.45,1.24,1.54,0.74,0.57,0.71,0.58,0.56,0.6,0.76,0.49,0.39,0.51,0.8,0.43
h_1,1.89,1.87,1.78,1.83,1.62,1.29,0.54,0.66,0.57,0.86,0.6,0.64,0.58,0.59,0.64,0.55
d_0,1.81,1.24,2.26,2.12,2.01,1.53,0.92,0.59,0.68,0.86,0.69,0.71,0.58,0.66,0.61,0.65
c_0,2.22,2.04,2.7,1.29,1.89,1.59,0.95,0.88,0.57,0.9,0.89,0.7,0.56,0.65,0.68,0.52
g_1,2.06,1.94,2.02,2.07,1.83,1.55,0.68,0.73,0.68,0.52,0.68,0.7,0.45,0.68,0.79,0.54
b_0,2.19,1.84,2.95,1.69,2.53,1.61,0.89,0.86,0.45,0.88,0.54,0.67,0.59,0.76,0.72,0.56
f_0,2.73,2.01,2.07,2.16,1.96,1.54,0.9,0.77,0.77,0.66,0.78,0.54,0.61,0.75,0.7,0.41
h_0,2.45,2.0,2.25,2.01,2.13,1.92,1.22,0.88,0.79,1.02,0.77,0.82,0.76,0.72,0.67,0.74
e_0,3.27,2.62,2.13,2.55,2.22,2.15,1.05,0.79,0.88,0.89,0.8,0.53,0.74,0.54,0.76,0.63
a_0,2.7,2.22,3.1,2.25,3.22,2.27,1.04,0.95,0.75,1.02,0.51,0.78,0.72,0.85,0.52,0.61
g_0,2.44,2.57,2.75,2.6,2.29,2.21,0.93,0.92,0.83,1.42,0.87,0.93,0.55,0.74,0.84,0.8
