,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.45,1.07,2.06,1.85,2.47,2.35,0.62,0.38,0.41,0.32,0.65,0.53,0.31,0.38,0.91,0.45
f_1,1.68,0.45,2.1,1.85,1.8,1.67,0.38,0.46,0.33,0.38,0.53,0.68,0.22,0.42,0.32,0.34
c_1,1.58,2.12,0.42,3.29,1.88,1.88,0.54,0.22,1.03,0.46,0.6,0.41,0.27,0.38,0.45,0.27
d_1,2.53,2.27,2.0,0.41,2.05,2.07,0.59,1.31,0.39,0.51,0.41,0.39,0.29,0.44,0.36,0.18
b_1,2.33,2.44,1.19,2.45,0.39,2.52,0.79,0.63,0.51,1.46,0.77,0.65,0.48,0.58,0.44,0.29
a_1,3.26,3.7,2.74,2.51,1.33,0.32,0.81,0.83,0.72,0.8,0.87,0.52,0.4,1.43,0.56,0.51
h_1,3.17,3.99,2.93,3.2,3.68,3.14,0.33,0.68,0.66,0.65,0.75,0.65,0.79,0.69,0.68,0.48
d_0,1.92,3.83,3.67,8.21,3.43,3.55,1.28,0.4,0.76,0.71,1.44,0.68,0.62,0.66,1.02,0.62
c_0,4.43,4.47,11.61,1.98,4.16,3.03,1.14,1.05,0.38,0.72,0.86,0.78,0.51,0.69,0.8,0.47
b_0,3.47,5.06,6.81,3.27,7.51,3.65,1.09,0.83,0.48,0.34,1.07,0.83,0.62,0.78,0.9,0.66
g_1,4.67,4.97,5.07,3.39,5.83,4.57,0.95,0.93,0.79,0.79,0.27,0.66,0.38,0.64,0.66,1.17
f_0,4.11,9.75,5.53,3.74,4.17,3.91,1.16,0.94,0.81,0.9,0.8,0.31,0.59,0.82,0.85,0.35
h_0,4.4,5.09,5.2,4.08,4.7,3.39,2.59,1.0,0.89,0.95,1.47,0.8,1.0,0.93,0.78,0.62
a_0,4.45,4.27,6.75,4.33,6.51,9.36,1.73,1.15,0.82,0.45,1.14,1.19,0.72,0.33,0.9,0.72
e_0,8.89,6.45,4.49,4.45,4.88,3.82,1.29,1.12,0.91,1.13,1.22,0.46,0.69,1.01,0.32,0.65
g_0,5.25,5.91,5.48,4.24,6.06,4.95,1.19,1.04,1.07,0.9,2.43,0.97,0.56,0.95,0.94,1.01
