,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.07,3.1,3.49,2.83,3.01,2.61,0.99,0.83,1.07,0.82,0.83,1.51,0.63,0.8,0.88,0.8
e_1,2.16,1.07,3.16,2.73,3.22,2.78,1.22,1.31,1.52,0.94,0.87,1.12,0.82,2.74,0.94,0.74
c_1,3.02,3.81,1.07,4.31,4.38,3.17,1.33,0.65,1.28,1.53,1.0,0.85,0.71,0.63,0.73,0.75
d_1,4.06,5.24,3.33,1.07,3.2,2.69,1.5,2.46,0.95,1.16,1.16,0.97,0.85,1.1,1.03,0.57
b_1,4.55,4.24,2.28,4.51,1.07,5.24,1.37,1.5,1.23,1.52,2.52,1.14,0.83,0.94,0.92,0.73
a_1,5.57,5.74,4.82,6.4,2.53,1.07,2.16,2.18,2.04,1.63,1.57,1.45,1.19,1.28,2.5,1.33
h_1,7.89,6.97,7.84,6.36,7.81,6.11,1.37,2.15,2.85,2.13,1.79,1.77,2.85,1.66,1.56,1.49
d_0,11.15,4.74,10.72,16.57,7.36,5.63,3.48,1.63,3.28,2.73,2.24,1.92,1.81,2.4,2.09,1.89
g_1,10.84,7.34,9.12,9.59,9.16,7.75,2.71,2.47,1.38,2.52,2.5,2.56,1.58,2.44,2.14,2.77
c_0,10.65,10.2,21.71,5.09,8.56,8.71,3.44,3.31,3.02,1.62,3.43,3.14,1.87,2.17,2.75,1.88
b_0,12.13,8.35,14.61,8.26,21.2,8.47,5.01,3.01,3.5,1.59,1.62,2.95,2.19,2.91,2.83,2.28
f_0,22.59,9.72,11.46,11.27,9.12,9.0,4.14,3.37,2.89,2.68,2.65,1.59,2.55,2.59,2.53,1.45
h_0,16.84,11.73,15.05,10.31,11.34,10.13,7.71,3.65,5.41,4.07,4.21,3.61,3.94,3.13,3.1,3.33
e_0,18.48,17.25,16.92,10.31,12.42,9.2,4.8,3.39,4.42,3.96,3.47,2.58,2.46,1.71,3.45,2.42
a_0,14.05,10.09,16.36,13.18,17.7,18.8,5.62,4.0,4.74,3.11,2.25,4.14,3.37,4.2,1.68,3.26
g_0,20.64,14.94,14.45,13.79,14.82,12.4,5.46,4.34,9.46,4.04,3.67,4.1,2.45,3.16,2.99,4.92
