,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.82,0.26,0.38,0.46,0.39,0.29,0.81,1.5,0.68,0.82,0.85,1.01,0.88,0.91,0.37,0.75
d_1,0.37,4.01,0.44,0.32,0.38,0.36,0.74,0.23,0.75,1.51,0.76,1.08,0.82,0.8,0.94,1.07
f_1,0.64,0.4,4.04,0.39,0.38,0.35,0.69,0.8,0.6,0.77,0.94,0.14,0.98,0.96,0.67,0.8
c_1,0.35,0.4,0.38,4.33,0.78,0.37,0.75,0.86,0.64,0.1,0.66,0.7,0.75,0.78,0.74,1.1
b_1,0.34,0.43,0.44,0.33,4.95,0.8,0.73,0.74,0.84,0.76,0.18,0.81,0.91,0.47,0.81,0.75
a_1,0.49,0.41,0.41,0.49,0.33,7.13,0.63,0.56,0.75,0.8,0.7,0.67,0.95,0.15,0.76,0.83
h_1,0.6,0.77,0.92,0.65,0.65,0.65,4.91,1.14,1.46,1.14,1.55,1.2,0.4,1.34,1.63,1.49
d_0,0.77,0.24,0.73,1.4,0.49,0.72,1.49,3.48,1.3,1.1,1.66,1.14,1.7,1.45,1.23,1.37
g_1,0.54,1.11,0.54,0.74,0.6,0.65,1.12,1.1,5.99,1.27,1.22,2.24,0.97,1.3,1.21,0.49
c_0,0.64,0.86,0.94,0.21,0.62,0.58,1.35,1.39,1.27,3.93,2.89,1.74,1.8,1.53,1.45,1.63
b_0,0.84,0.88,0.73,0.86,0.24,0.43,1.57,1.46,1.17,1.41,4.37,1.43,1.89,2.85,1.34,1.3
f_0,0.68,0.8,0.22,0.73,0.64,0.73,1.46,1.36,1.7,1.84,1.81,4.93,1.36,1.78,3.41,1.48
h_0,0.65,0.87,0.87,0.86,0.46,0.7,0.43,1.42,1.59,0.94,1.16,1.25,0.73,1.64,1.55,2.28
a_0,0.72,0.82,0.77,0.76,0.62,,1.28,1.42,1.78,1.39,1.66,1.49,2.21,5.52,1.84,1.16
e_0,0.24,0.82,0.79,0.69,0.54,0.67,1.83,2.18,1.76,1.61,1.96,1.43,2.22,1.87,6.69,2.23
g_0,0.48,1.06,0.75,0.59,0.66,0.7,1.35,1.28,0.62,1.58,1.55,1.85,1.91,1.14,1.6,0.6
