,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.45,1.25,1.12,0.99,0.96,1.0,2.28,1.91,4.01,1.64,2.86,2.51,2.91,2.95,2.95,3.16
f_1,1.08,2.45,1.73,1.15,1.01,1.15,1.74,2.22,1.95,2.13,2.19,1.45,2.19,2.97,1.64,2.55
e_1,1.0,1.06,2.53,1.46,1.12,1.06,2.37,2.01,2.52,4.31,2.8,2.68,2.52,2.61,1.86,3.02
c_1,1.13,1.02,0.94,2.57,1.89,0.97,2.46,2.05,1.34,1.93,2.42,2.53,2.51,3.39,2.58,2.83
b_1,1.14,1.25,1.08,0.99,2.71,1.88,1.95,2.26,1.98,2.65,1.39,2.45,2.06,3.31,2.73,3.3
a_1,1.37,1.22,1.05,1.24,0.95,3.35,2.16,2.57,2.74,2.13,2.21,2.49,1.42,3.59,2.34,2.66
h_1,1.35,1.59,1.1,1.12,1.24,1.18,3.97,3.03,2.49,2.41,2.8,2.8,2.66,2.69,3.25,4.2
g_1,1.76,1.02,1.4,1.18,1.21,1.02,2.11,4.33,2.69,2.3,2.8,3.91,2.56,2.58,3.31,1.97
c_0,1.11,1.48,1.23,0.99,1.24,1.24,2.74,2.58,3.91,3.22,4.55,2.89,3.53,3.21,2.99,3.34
d_0,0.87,1.23,1.03,2.22,1.1,1.31,2.27,2.24,2.15,4.08,2.72,2.93,2.56,3.22,2.93,3.69
b_0,1.14,1.48,1.14,1.37,0.83,1.07,2.59,2.56,2.39,3.01,4.33,3.34,4.93,3.91,3.66,4.28
f_0,1.47,0.99,1.16,1.31,1.34,1.2,2.5,2.18,2.75,2.66,2.73,4.21,2.88,3.73,4.45,3.19
a_0,1.17,1.39,1.23,1.3,1.42,0.99,2.51,2.43,2.46,2.76,2.11,2.96,4.73,3.93,2.6,3.68
h_0,1.34,1.71,1.36,1.09,1.15,0.98,1.65,3.28,3.04,2.95,2.5,2.37,2.92,2.46,2.76,3.89
e_0,1.29,1.64,0.92,1.26,1.18,1.31,2.81,2.52,2.74,2.59,2.47,2.58,3.75,3.54,4.81,3.68
g_0,1.63,1.13,1.07,1.38,1.1,1.3,2.35,1.91,2.99,2.51,2.3,3.7,2.69,2.9,3.04,2.95
