,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.5,0.43,0.5,0.4,0.38,0.38,0.5,0.89,0.6,0.45,0.56,0.56,0.5,0.65,0.21,0.63
f_1,0.77,1.52,0.51,0.32,0.43,0.33,0.45,0.66,0.56,0.43,0.53,0.27,0.46,0.55,0.32,0.42
c_1,0.47,0.47,1.53,0.48,0.74,0.28,0.6,0.41,0.2,0.55,0.51,0.44,0.43,0.52,0.52,0.52
d_1,0.44,0.68,0.4,1.55,0.43,0.33,0.57,0.3,0.92,0.48,0.51,0.55,0.45,0.62,0.33,0.46
b_1,0.51,0.41,0.43,0.48,1.58,0.69,0.64,0.69,0.56,0.45,0.22,0.54,0.45,0.55,0.36,0.55
a_1,0.48,0.6,0.5,0.58,0.34,1.75,0.62,0.49,0.57,0.47,0.57,0.71,,0.75,0.63,0.51
h_1,0.68,0.85,0.64,0.84,0.68,0.64,1.67,0.72,0.78,1.01,0.83,0.84,0.65,0.55,0.75,1.14
d_0,0.68,0.68,1.42,0.36,0.65,0.6,0.83,1.47,0.82,0.65,0.96,0.84,0.71,1.03,0.75,0.79
c_0,0.67,0.81,0.48,0.72,0.76,0.73,0.86,1.02,1.49,0.94,1.43,0.94,0.8,0.92,0.98,0.96
g_1,0.71,0.64,0.69,1.19,0.68,0.55,0.8,0.91,0.84,1.78,0.91,1.14,0.66,0.86,0.66,0.57
b_0,0.7,0.77,0.74,0.95,0.5,0.73,0.95,0.98,0.75,1.01,1.55,0.78,1.48,0.89,0.85,0.91
f_0,0.71,0.44,0.98,0.96,0.65,0.51,0.98,1.03,1.02,0.8,1.17,1.61,0.93,0.8,1.44,0.82
a_0,0.89,0.99,0.93,0.75,0.81,,0.95,1.1,1.08,1.07,0.78,0.87,1.68,0.95,0.76,1.05
h_0,0.7,1.07,0.87,0.83,0.71,0.6,0.71,0.84,0.98,0.97,1.05,1.03,0.8,0.61,0.86,1.08
e_0,0.52,0.85,1.02,1.06,0.95,0.59,0.78,1.17,0.91,0.93,1.04,0.87,0.94,1.14,1.76,0.98
g_0,0.61,0.76,0.81,1.25,0.73,0.74,0.81,1.0,0.99,0.64,1.0,1.29,0.72,1.04,0.87,0.65
