,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.86,1.17,1.43,1.65,3.03,18.99,31.88,26.52,25.81,43.08,46.55,75.19,96.84,87.73,108.49
f_1,1.16,1.0,0.98,1.12,1.29,2.34,14.17,24.79,24.24,25.47,35.14,38.9,56.7,68.85,88.58,94.2
d_1,0.86,1.03,1.0,0.89,1.26,2.45,14.72,19.57,17.02,30.81,29.63,40.86,55.46,76.1,77.79,68.07
c_1,0.7,0.92,1.09,1.0,1.74,2.62,15.55,14.98,19.96,20.8,30.73,28.43,57.65,68.17,68.46,85.48
b_1,0.59,0.78,0.78,0.59,1.0,2.88,11.53,13.57,16.57,20.14,22.95,27.13,45.81,59.62,50.21,59.97
a_1,0.33,0.41,0.39,0.38,0.36,1.0,6.46,8.4,8.05,8.89,11.77,17.22,22.89,33.57,32.28,30.61
h_1,0.05,0.07,0.07,0.06,0.09,0.15,1.0,1.19,1.75,1.43,2.0,2.27,3.67,4.6,4.72,5.97
d_0,0.03,0.04,0.05,0.07,0.08,0.12,0.85,1.0,1.21,0.93,1.54,1.69,2.83,4.05,4.16,4.55
g_1,0.04,0.04,0.06,0.05,0.06,0.13,0.6,0.8,1.0,1.11,1.67,1.53,2.24,3.53,3.25,3.47
c_0,0.04,0.04,0.03,0.05,0.05,0.12,0.69,1.06,0.91,1.0,1.38,2.17,2.5,3.26,3.76,3.6
f_0,0.02,0.03,0.03,0.03,0.05,0.08,0.51,0.62,0.63,0.74,1.0,1.14,1.83,3.53,2.52,2.18
b_0,0.02,0.03,0.02,0.03,0.04,0.06,0.44,0.57,0.65,0.47,0.84,1.0,1.62,2.18,2.97,2.45
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.35,0.46,0.39,0.55,0.63,1.0,1.21,1.33,1.58
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.26,0.3,0.33,0.31,0.45,0.83,1.0,1.22,1.06
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.25,0.3,0.27,0.39,0.33,0.78,0.82,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.22,0.28,0.29,0.45,0.43,0.63,0.95,0.97,1.0
