,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.87,1.04,1.09,0.87,0.85,0.94,1.07,0.85,1.03,0.86,0.83,0.83,0.8,1.07
e_1,0.85,1.0,0.93,1.14,0.89,1.04,1.14,1.39,1.08,1.09,0.92,1.17,1.09,1.08,1.35,1.16
d_1,1.14,1.04,1.0,0.85,0.91,0.95,0.97,1.06,0.82,1.34,1.02,0.91,1.13,1.05,1.06,0.79
c_1,0.95,0.87,1.2,1.0,1.34,0.88,1.04,0.74,0.97,0.81,0.91,1.0,1.08,0.94,0.97,0.96
b_1,0.92,1.12,1.11,0.75,1.0,1.53,1.11,0.98,0.97,0.97,1.04,0.86,0.91,0.81,0.75,0.97
a_1,1.14,0.95,1.06,1.15,0.65,1.0,1.08,1.01,1.06,1.04,1.22,1.22,1.04,1.34,1.23,1.2
h_1,1.16,0.89,1.02,0.98,0.92,0.89,1.0,0.99,1.33,0.93,0.96,0.96,1.05,0.94,1.03,1.1
d_0,1.02,0.71,0.93,1.37,1.07,0.93,1.03,1.0,0.97,0.92,0.88,1.1,1.02,0.98,1.02,1.17
g_1,0.95,0.93,1.25,1.05,1.04,0.87,0.76,1.01,1.0,0.8,1.03,1.23,0.88,1.1,0.93,0.92
c_0,1.12,0.92,0.75,1.19,1.01,0.97,1.11,1.1,1.26,1.0,1.41,1.08,1.07,1.12,1.0,1.09
b_0,1.0,1.05,0.99,1.12,1.02,0.76,1.08,1.07,0.98,0.69,1.0,1.06,0.93,1.48,1.06,0.93
f_0,1.06,0.88,1.11,1.04,1.17,0.83,1.02,0.91,0.81,0.96,1.0,1.0,1.05,0.99,1.37,0.8
h_0,1.18,0.92,0.89,0.97,1.08,0.95,0.95,0.97,1.15,0.93,1.01,0.89,1.0,0.99,0.98,1.16
a_0,1.18,0.94,0.93,1.03,1.18,0.69,1.1,1.05,0.97,0.92,0.71,0.94,0.99,1.0,1.11,0.93
e_0,1.2,0.82,0.99,1.02,1.29,0.89,1.02,0.99,1.06,0.93,0.94,0.7,0.97,0.93,1.0,1.21
g_0,0.93,0.85,1.27,1.11,0.97,0.84,0.9,0.85,1.08,0.9,0.99,1.23,0.89,1.06,0.88,1.0
