,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.87,0.16,0.06,0.07,0.08,0.04,0.08,0.08,0.07,0.06,0.09,0.01,0.05,0.06,0.03,0.05
e_1,0.09,0.88,0.07,0.08,0.06,0.05,0.08,0.08,0.17,0.07,0.08,0.07,0.05,0.08,0.01,0.06
d_1,0.1,0.07,0.88,0.06,0.07,0.05,0.08,0.18,0.02,0.06,0.09,0.07,0.06,0.08,0.05,0.07
c_1,0.08,0.08,0.07,0.88,0.14,0.04,0.07,0.02,0.08,0.06,0.06,0.08,0.05,0.06,0.05,0.04
b_1,0.09,0.08,0.09,0.07,0.87,0.1,0.06,0.07,0.09,0.07,0.01,0.06,0.04,0.07,0.04,0.06
a_1,0.1,0.06,0.08,0.09,0.06,0.87,0.09,0.08,0.08,0.06,0.08,0.06,0.01,0.09,0.05,0.07
h_1,0.19,0.16,0.12,0.14,0.08,0.09,0.53,0.16,0.13,0.14,0.15,0.14,0.12,0.06,0.1,0.14
c_0,0.18,0.16,0.18,0.06,0.11,0.08,0.14,0.38,0.12,0.12,0.26,0.1,0.14,0.13,0.1,0.11
d_0,0.15,0.17,0.05,0.29,0.12,0.08,0.12,0.11,0.38,0.1,0.14,0.12,0.08,0.12,0.1,0.09
g_1,0.11,0.12,0.24,0.15,0.11,0.09,0.09,0.14,0.12,0.52,0.13,0.17,0.1,0.14,0.08,0.05
b_0,0.15,0.16,0.17,0.15,0.03,0.09,0.14,0.16,0.13,0.13,0.4,0.14,0.19,0.14,0.08,0.11
f_0,0.05,0.14,0.14,0.18,0.15,0.11,0.16,0.15,0.13,0.11,0.12,0.38,0.09,0.13,0.2,0.12
a_0,0.2,0.13,0.17,0.12,0.13,0.04,0.17,0.18,0.18,0.11,0.13,0.11,0.35,0.16,0.09,0.12
h_0,0.19,0.15,0.15,0.14,0.1,0.11,0.05,0.16,0.15,0.13,0.15,0.12,0.09,0.05,0.1,0.12
e_0,0.17,0.04,0.12,0.14,0.17,0.1,0.18,0.2,0.12,0.13,0.15,0.14,0.1,0.18,0.38,0.13
g_0,0.13,0.14,0.21,0.16,0.1,0.1,0.16,0.14,0.11,0.05,0.14,0.18,0.08,0.1,0.09,0.04
