,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.65,1.39,1.42,1.28,1.26,1.01,0.53,0.41,0.54,0.74,0.53,0.41,0.48,0.36,0.45,0.3
f_1,1.19,0.66,1.41,1.38,1.16,1.12,0.47,0.69,0.43,0.48,0.43,0.62,0.39,0.31,0.33,0.4
e_1,1.34,0.88,0.65,1.63,1.37,1.35,0.68,0.55,0.52,0.64,0.57,0.53,0.49,0.37,0.64,0.43
c_1,1.6,1.37,1.05,0.64,1.55,1.14,0.7,0.63,0.63,0.3,0.46,0.5,0.46,0.46,0.49,0.36
b_1,1.64,1.58,1.4,0.84,0.63,1.6,0.66,0.67,0.54,0.59,0.7,0.51,0.45,0.44,0.54,0.48
a_1,1.82,1.68,1.69,1.88,0.98,0.56,0.82,0.87,0.67,0.62,0.7,0.63,0.89,0.6,0.57,0.47
h_1,1.82,2.37,1.87,1.89,2.15,1.88,0.56,0.98,0.63,0.68,0.71,0.67,0.66,0.75,0.64,0.59
g_1,2.29,2.1,2.45,2.18,2.04,1.59,0.77,0.55,0.78,0.86,0.81,0.88,0.73,0.48,0.72,0.77
c_0,1.35,2.7,2.06,3.15,2.53,1.97,1.14,0.95,0.61,1.06,0.93,0.74,0.85,0.57,0.75,0.61
d_0,2.91,2.32,1.36,2.64,2.09,2.26,1.22,1.13,0.73,0.59,0.78,0.9,0.72,0.64,0.78,0.7
b_0,2.05,2.55,2.04,2.61,3.21,2.0,1.0,0.96,0.55,0.92,0.57,0.87,1.02,0.77,0.85,0.7
f_0,2.36,3.61,2.17,2.42,2.26,1.99,1.04,0.71,0.82,0.8,0.75,0.59,0.74,0.78,0.92,0.51
a_0,2.36,2.63,2.71,2.75,2.95,3.86,1.2,1.21,0.78,0.96,0.54,0.94,0.57,0.76,0.73,0.74
h_0,2.68,2.76,2.85,2.34,2.22,1.81,1.48,1.41,1.03,0.97,0.87,0.85,0.82,1.02,0.81,0.82
e_0,2.41,3.91,3.4,2.68,2.6,2.48,1.07,1.04,0.89,1.01,0.82,0.57,0.91,0.77,0.56,0.68
g_0,2.74,3.01,2.42,2.84,2.41,2.75,1.0,1.82,1.04,0.9,0.79,1.01,0.87,0.67,0.88,0.82
