,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.95,0.52,0.64,0.48,0.44,0.41,0.35,0.3,0.54,0.34,0.33,0.31,0.26,0.31,0.19,0.27
f_1,0.88,0.95,0.55,0.52,0.44,0.35,0.28,0.32,0.35,0.34,0.32,0.2,0.23,0.29,0.19,0.27
c_1,0.5,0.54,0.95,0.53,0.79,0.4,0.4,0.33,0.3,0.28,0.21,0.34,0.26,0.3,0.24,0.29
d_1,0.56,0.58,0.51,0.95,0.5,0.41,0.42,0.32,0.32,0.41,0.51,0.32,0.27,0.3,0.27,0.24
b_1,0.62,0.59,0.48,0.53,0.95,0.71,0.39,0.33,0.32,0.26,0.36,0.29,0.2,0.34,0.23,0.3
a_1,0.65,0.68,0.62,0.65,0.45,0.94,0.53,0.43,0.38,0.45,0.36,0.33,0.27,0.39,0.31,0.3
h_1,0.84,1.19,0.75,0.8,0.74,0.47,0.79,0.57,0.48,0.48,0.5,0.41,0.38,0.41,0.39,0.51
g_1,0.84,0.83,0.84,1.13,0.7,0.51,0.56,0.78,0.46,0.54,0.53,0.65,0.38,0.43,0.46,0.35
d_0,0.77,0.92,1.34,0.68,0.84,0.61,0.57,0.48,0.7,0.57,0.41,0.47,0.42,0.52,0.41,0.41
b_0,0.9,0.92,1.0,0.91,0.66,0.53,0.63,0.5,0.54,0.73,0.54,0.54,0.76,0.53,0.42,0.45
c_0,1.03,0.99,0.85,0.79,0.66,0.66,0.63,0.49,0.64,0.89,0.72,0.52,0.52,0.56,0.44,0.46
f_0,0.81,0.89,0.91,0.92,0.94,0.64,0.65,0.51,0.57,0.6,0.58,0.71,0.51,0.55,0.73,0.41
a_0,0.98,1.16,0.92,1.03,1.05,0.5,0.64,0.55,0.66,0.53,0.57,0.52,0.67,0.64,0.42,0.56
h_0,1.03,1.24,0.94,1.03,0.82,0.63,0.55,0.72,0.56,0.57,0.56,0.5,0.44,0.46,0.38,0.58
e_0,0.89,1.29,1.07,0.99,0.86,0.58,0.64,0.53,0.63,0.71,0.62,0.49,0.63,0.67,0.67,0.57
g_0,1.06,0.86,0.99,1.38,0.85,0.66,0.61,0.47,0.64,0.71,0.63,0.75,0.53,0.51,0.45,0.46
