,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.12,2.42,4.05,4.65,4.59,4.23,1.26,1.03,1.38,0.75,0.89,1.02,1.04,0.63,0.67,1.95
f_1,3.81,1.12,3.62,4.14,4.65,3.94,0.89,0.87,1.68,0.83,0.74,1.68,0.84,0.42,0.68,0.65
d_1,5.82,5.21,1.11,4.51,4.17,4.22,1.18,2.01,0.8,0.98,0.95,0.87,0.82,0.63,0.44,0.82
c_1,3.93,5.15,7.03,1.12,5.43,4.62,1.55,0.55,1.39,1.87,0.93,0.91,0.87,0.76,0.66,0.85
b_1,7.79,7.1,6.69,3.45,1.13,7.81,1.83,1.33,2.06,1.61,3.78,1.57,1.34,1.34,1.08,1.28
a_1,7.7,10.22,8.7,9.42,4.0,1.14,2.67,1.87,2.69,1.66,2.62,1.93,4.83,1.12,1.56,1.77
h_1,14.44,13.38,13.41,13.44,14.18,12.65,1.73,3.16,4.13,2.78,2.8,2.75,2.89,2.96,1.98,2.65
d_0,9.87,20.43,31.76,21.85,25.41,18.6,6.37,2.26,6.31,3.34,4.02,3.81,3.86,2.54,2.94,3.81
g_1,18.56,19.49,22.15,18.95,19.51,19.56,4.57,4.02,1.75,4.72,4.14,4.22,4.13,2.14,5.11,3.89
c_0,22.73,19.19,11.15,40.33,25.14,17.9,6.65,7.02,5.46,2.31,4.59,4.65,4.94,3.72,3.36,3.65
b_0,18.92,27.14,19.13,26.44,48.78,19.16,7.01,5.1,5.7,2.6,2.3,4.16,4.89,3.62,2.78,4.59
f_0,21.82,54.29,19.24,22.63,20.85,19.36,6.75,4.85,3.44,4.19,4.74,2.14,4.78,3.56,2.14,4.65
a_0,25.44,30.89,23.88,34.57,37.52,63.23,9.22,6.75,7.49,5.86,3.03,4.94,2.37,4.02,3.69,6.28
h_0,25.78,31.15,27.6,35.35,29.39,25.99,13.29,7.09,10.92,5.49,6.85,6.14,5.82,7.38,4.39,5.77
g_0,32.83,41.3,30.33,44.94,36.95,23.13,8.22,7.17,12.38,5.21,6.17,5.88,7.59,3.47,6.78,5.51
e_0,50.54,54.29,32.69,34.2,32.09,30.6,9.62,7.73,7.4,7.19,6.94,3.59,6.54,5.21,5.18,2.65
